ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Acadia NP,,National Park,,,2025,8,844268,7500.0,5420311,7500.0,,456.0,31331.0,10181.0,330.0,,2993.0
Arches NP,,National Park,,,2025,8,150262,625.0,1005157,1998.0,,,2019.0,2582.0,11.0,,495.0
Badlands NP,,National Park,,,2025,8,214978,8531.0,932362,4265.0,832.0,6137.0,519.0,159.0,182.0,,
Big Bend NP,,National Park,,,2025,8,19830,225.0,306170,675.0,0.0,300.0,1752.0,107.0,525.0,,158.0
Biscayne NP,,National Park,,,2025,8,21616,,64847,,,,0.0,,,,0.0
Black Canyon of the Gunnison NP,,National Park,,,2025,8,50,,0,,,,0.0,0.0,0.0,,
Bryce Canyon NP,,National Park,,,2025,8,301864,52024.0,2006331,15607.0,7754.0,,7929.0,6759.0,119.0,,264.0
Canyonlands NP,,National Park,,,2025,8,61026,,356776,,,,552.0,468.0,3959.0,,77.0
Capitol Reef NP,,National Park,,,2025,8,110159,5175.0,170265,5175.0,,,3336.0,2790.0,57.0,,393.0
Carlsbad Caverns NP,,National Park,,,2025,8,36492,,145935,,,,,,1.0,,
Channel Islands NP,,National Park,,,2025,8,22831,778.0,242602,18672.0,,,,,6538.0,778.0,8375.0
Congaree NP,,National Park,,,2025,8,20223,,72268,,,,200.0,,10.0,,370.0
Crater Lake NP,,National Park,,,2025,8,189696,3900.0,994932,1950.0,6696.0,10631.0,,,562.0,,
Cuyahoga Valley NP,,National Park,,,2025,8,386494,,1201587,,102.0,,,,,,90.0
Death Valley NP,,National Park,,,2025,8,97214,3816.0,573303,5724.0,3305.0,70.0,344.0,234.0,31.0,,0.0
Denali NP & PRES,,National Park,,,2025,8,142813,127848.0,1550601,31962.0,,5485.0,,,1198.0,,
Dry Tortugas NP,,National Park,,,2025,8,7277,96.0,54322,1152.0,,,302.0,,,96.0,872.0
Everglades NP,,National Park,,,2025,8,27787,300.0,111472,1350.0,,0.0,,,66.0,,0.0
Gates of the Arctic NP & PRES,,National Park,,,2025,8,3193,,30546,,,,,,1211.0,,
