ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Acadia NP,,,,,2025,March,26000.0,600.0,171600.0,600.0,,,,,,,
Arches NP,,,,,2025,March,152554.0,362.0,1037122.0,1469.0,,,1817.0,3297.0,15.0,,825.0
Badlands NP,,,,,2025,March,26683.0,2486.0,106666.0,1243.0,,69.0,35.0,28.0,85.0,,
Big Bend NP,,,,,2025,March,106911.0,225.0,2085089.0,675.0,2797.0,473.0,11755.0,4264.0,10304.0,,3830.0
Biscayne NP,,,,,2025,March,42949.0,,135494.0,,,,0.0,,,,277.0
Black Canyon of the Gunnison NP,,,,,2025,March,10761.0,,19856.0,,,,0.0,0.0,4.0,,
Bryce Canyon NP,,,,,2025,March,106961.0,27005.0,397428.0,8101.0,693.0,,466.0,1853.0,178.0,,
Canyonlands NP,,,,,2025,March,83067.0,,542587.0,,,,826.0,1019.0,6885.0,,179.0
Capitol Reef NP,,,,,2025,March,104856.0,14746.0,195469.0,14746.0,,,2843.0,2399.0,461.0,,
Carlsbad Caverns NP,,,,,2025,March,54906.0,,200552.0,,,,,,6.0,,
Channel Islands NP,,,,,2025,March,0.0,450.0,0.0,10800.0,,,,,0.0,450.0,1589.0
Congaree NP,,,,,2025,March,33391.0,,144194.0,,,,1340.0,,182.0,,679.0
Crater Lake NP,,,,,2025,March,5633.0,2800.0,21455.0,1400.0,,,,,87.0,,
Cuyahoga Valley NP,,,,,2025,March,197814.0,,617867.0,,143.0,,,,,,115.0
Death Valley NP,,,,,2025,March,144755.0,5737.0,1259654.0,8605.0,4533.0,401.0,14730.0,16160.0,3776.0,,122.0
Denali NP & PRES,,,,,2025,March,8474.0,21568.0,90066.0,5392.0,,,,,203.0,,
Dry Tortugas NP,,,,,2025,March,7715.0,144.0,54629.0,1728.0,,,298.0,,,144.0,873.0
Everglades NP,,,,,2025,March,99017.0,600.0,823047.0,2700.0,,12795.0,,,3210.0,,44.0
Gateway Arch NP,,,,,2025,March,216702.0,,476745.0,,,,,,,,
Glacier Bay NP & PRES,,,,,2025,March,248.0,4.0,3096.0,960.0,,,,,22.0,40.0,70.0
Glacier NP,,,,,2025,March,25909.0,2.0,104644.0,8.0,,,0.0,0.0,56.0,,
Grand Canyon NP,,,,,2025,March,350351.0,383.0,5364952.0,383.0,53789.0,6983.0,7096.0,3185.0,21520.0,,798.0
Grand Teton NP,,,,,2025,March,64716.0,133068.0,197247.0,133068.0,34.0,,0.0,91.0,34.0,,
Great Basin NP,,,,,2025,March,1719.0,250.0,16385.0,125.0,,,81.0,368.0,7.0,,
Great Sand Dunes NP & PRES,,,,,2025,March,27128.0,35.0,100560.0,35.0,,,,,395.0,,
Great Smoky Mountains NP,,,,,2025,March,845781.0,920000.0,2567727.0,460000.0,308.0,,7979.0,3723.0,7493.0,,0.0
Guadalupe Mountains NP,,,,,2025,March,30339.0,120.0,96518.0,120.0,,,2216.0,1138.0,598.0,,858.0
Haleakala NP,,,,,2025,March,76026.0,1680.0,177684.0,1680.0,,,837.0,,148.0,,83.0
Hawaii Volcanoes NP,,,,,2025,March,162193.0,157217.0,1016635.0,51881.0,2869.0,450.0,82.0,0.0,389.0,,6647.0
Hot Springs NP,,,,,2025,March,252503.0,12446.0,691047.0,14189.0,,,0.0,2232.0,,,
Indiana Dunes NP,,,,,2025,March,164629.0,335.0,329259.0,167.0,,,,,,,
Isle Royale NP,,,,,2025,March,,0.0,,0.0,,,,,,0.0,
Joshua Tree NP,,,,,2025,March,411993.0,1398.0,2375247.0,1398.0,,,24688.0,15117.0,3762.0,,10217.0
Kenai Fjords NP,,,,,2025,March,29.0,,914.0,,,,,,,,41.0
Kings Canyon NP,,,,,2025,March,22823.0,851.0,109550.0,3404.0,863.0,,378.0,289.0,,,
Kobuk Valley NP,,,,,2025,March,848.0,395.0,11333.0,12520.0,,,,,340.0,390.0,
Lassen Volcanic NP,,,,,2025,March,6531.0,,40929.0,,,,0.0,63.0,20.0,,
Mammoth Cave NP,,,,,2025,March,74221.0,10495.0,511993.0,5247.0,1732.0,,4176.0,190.0,354.0,,589.0
Mesa Verde NP,,,,,2025,March,17561.0,417.0,79024.0,417.0,,,,,,,
