ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Acadia NP,,,,,2025,May,323243,7500.0,2340119,7500.0,,34.0,11606.0,4468.0,80.0,,867.0
Arches NP,,,,,2025,May,193448,1137.0,1259411,3873.0,,,1697.0,2300.0,19.0,,1018.0
Badlands NP,,,,,2025,May,125814,6281.0,587994,3140.0,1697.0,5459.0,471.0,138.0,345.0,,
Big Bend NP,,,,,2025,May,41026,225.0,751732,675.0,1595.0,360.0,5286.0,742.0,2047.0,,779.0
Biscayne NP,,,,,2025,May,53602,,160806,,,,0.0,,,,0.0
Black Canyon of the Gunnison NP,,,,,2025,May,50,,172602,,,,3220.0,2840.0,180.0,,
Bryce Canyon NP,,,,,2025,May,332079,51000.0,1470569,15300.0,7112.0,,5698.0,6379.0,560.0,,15.0
Canyonlands NP,,,,,2025,May,120667,,835895,,,,1165.0,1602.0,12042.0,,408.0
Capitol Reef NP,,,,,2025,May,221189,10313.0,307434,10313.0,,,2838.0,2779.0,457.0,,306.0
Carlsbad Caverns NP,,,,,2025,May,34369,,134277,,,,,,18.0,,
Channel Islands NP,,,,,2025,May,22680,576.0,239094,13824.0,,,,,5714.0,576.0,3528.0
Congaree NP,,,,,2025,May,33957,,120872,,,,662.0,,69.0,,219.0
Crater Lake NP,,,,,2025,May,31922,4900.0,133532,2450.0,1254.0,,,,87.0,,
Cuyahoga Valley NP,,,,,2025,May,284091,,888117,,133.0,,,,,,280.0
Death Valley NP,,,,,2025,May,105278,4039.0,657178,6058.0,2275.0,307.0,2117.0,1837.0,301.0,,3.0
Denali NP & PRES,,,,,2025,May,42821,134396.0,712959,33599.0,,1650.0,,,10783.0,,
Dry Tortugas NP,,,,,2025,May,10012,210.0,74505,2520.0,,,568.0,,,210.0,2526.0
Everglades NP,,,,,2025,May,61712,600.0,308417,2700.0,,1699.0,,,508.0,,0.0
Gates of the Arctic NP & PRES,,,,,2025,May,362,,181,,,,,,,,
Gateway Arch NP,,,,,2025,May,227381,,500237,,,,,,,,
Glacier Bay NP & PRES,,,,,2025,May,1352,0.0,35358,0.0,0.0,,26.0,,184.0,0.0,1116.0
Glacier NP,,,,,2025,May,238766,25.0,1352799,100.0,3664.0,,7241.0,10218.0,312.0,,662.0
Grand Canyon NP,,,,,2025,May,508642,488.0,8021219,488.0,58586.0,6795.0,12993.0,11561.0,17480.0,,2021.0
Grand Teton NP,,,,,2025,May,341521,135562.0,1892372,135562.0,13864.0,29422.0,0.0,0.0,1217.0,,
Great Basin NP,,,,,2025,May,15774,150.0,155795,75.0,,,1925.0,2800.0,18.0,,120.0
Great Sand Dunes NP & PRES,,,,,2025,May,61955,45.0,472632,45.0,,,3818.0,5487.0,1902.0,,2043.0
Great Smoky Mountains NP,,,,,2025,May,1111432,805000.0,5173517,402500.0,1287.0,,25080.0,20269.0,10698.0,,5889.0
Guadalupe Mountains NP,,,,,2025,May,17702,120.0,44211,120.0,,,1080.0,537.0,192.0,,381.0
Haleakala NP,,,,,2025,May,77060,1680.0,211481,1680.0,,,1615.0,,297.0,,478.0
Hawaii Volcanoes NP,,,,,2025,May,143362,146477.0,900954,48337.0,2752.0,381.0,29.0,0.0,516.0,,5513.0
Hot Springs NP,,,,,2025,May,189150,12497.0,539805,14246.0,,,50.0,2729.0,,,
Indiana Dunes NP,,,,,2025,May,271854,335.0,654861,167.0,,,3748.0,2427.0,,,
Isle Royale NP,,,,,2025,May,1542,0.0,26431,0.0,223.0,,66.0,,299.0,0.0,502.0
Joshua Tree NP,,,,,2025,May,230328,832.0,1375262,832.0,,,13756.0,7041.0,617.0,,8786.0
Katmai NP & PRES,,,,,2025,May,313,55.0,7509,341.0,,,23.0,,209.0,0.0,
Kenai Fjords NP,,,,,2025,May,37955,,121147,,,,38.0,,26.0,,12.0
Kings Canyon NP,,,,,2025,May,98420,1511.0,3582500,6044.0,2782.0,,8739.0,4589.0,840.0,,122.0
Kobuk Valley NP,,,,,2025,May,947,435.0,13400,14160.0,,,,,412.0,445.0,
