ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Acadia NP,,,,,2025,January,13183,600,87009,600,,,,,,,
Acadia NP,,,,,2025,February,10352,600,68326,600,,,,,,,
Acadia NP,,,,,2025,March,26000,600,171600,600,,,,,,,
Acadia NP,,,,,2025,April,95200,600,552160,600,,,,,,,
Acadia NP,,,,,2025,May,323243,7500,2340119,7500,,34,11606,4468,80,,867
Acadia NP,,,,,2025,June,631333,7500,4699110,7500,,200,25087,10222,221,,2294
Acadia NP,,National Park,,,2025,July,797030,7500,5182020,7500,,289,29762,11799,213,,3122
Acadia NP,,National Park,,,2025,August,844268,7500,5420311,7500,,456,31331,10181,330,,2993
Arches NP,,,,,2025,January,31870,27,205878,218,,,252,485,,,
Arches NP,,,,,2025,February,51541,41,336401,200,,,325,948,3,,79
Arches NP,,,,,2025,March,152554,362,1037122,1469,,,1817,3297,15,,825
Arches NP,,,,,2025,April,162090,792,1080481,3163,,,1571,2783,16,,988
Arches NP,,,,,2025,May,193448,1137,1259411,3873,,,1697,2300,19,,1018
Arches NP,,,,,2025,June,175660,777,1166847,2564,,,2114,2485,11,,996
Arches NP,,National Park,,,2025,July,158207,731,1068662,2350,,,2005,3137,3,,716
Arches NP,,National Park,,,2025,August,150262,625,1005157,1998,,,2019,2582,11,,495
Badlands NP,,,,,2025,January,9962,2066,39021,1033,,5,1,2,6,,
Badlands NP,,,,,2025,February,10111,1976,39482,988,,3,0,1,0,,
Badlands NP,,,,,2025,March,26683,2486,106666,1243,,69,35,28,85,,
Badlands NP,,,,,2025,April,46381,3071,194687,1535,520,388,123,41,78,,
Badlands NP,,,,,2025,May,125814,6281,587994,3140,1697,5459,471,138,345,,
Badlands NP,,,,,2025,June,221824,7781,984742,3890,2093,6817,717,128,214,,
Badlands NP,,National Park,,,2025,July,232859,8231,1016894,4115,831,7106,727,150,248,,
Badlands NP,,National Park,,,2025,August,214978,8531,932362,4265,832,6137,519,159,182,,
Big Bend NP,,,,,2025,January,49001,225,1072288,675,2126,363,7366,4402,4563,,1358
Big Bend NP,,,,,2025,February,52227,225,1057666,675,1895,380,5844,4666,3411,,1760
Big Bend NP,,,,,2025,March,106911,225,2085089,675,2797,473,11755,4264,10304,,3830
Big Bend NP,,,,,2025,April,64252,225,1214573,675,2049,189,8791,2754,2809,,1889
Big Bend NP,,,,,2025,May,41026,225,751732,675,1595,360,5286,742,2047,,779
Big Bend NP,,,,,2025,June,24636,225,402882,675,374,301,2607,286,844,,57
Big Bend NP,,National Park,,,2025,July,21457,225,321301,675,0,297,1697,97,529,,39
Big Bend NP,,National Park,,,2025,August,19830,225,306170,675,0,300,1752,107,525,,158
Biscayne NP,,,,,2025,January,32016,,101567,,,,0,,,,230
Biscayne NP,,,,,2025,February,40123,,125098,,,,0,,,,197
Biscayne NP,,,,,2025,March,42949,,135494,,,,0,,,,277
Biscayne NP,,,,,2025,April,45935,,137804,,,,0,,,,0
Biscayne NP,,,,,2025,May,53602,,160806,,,,0,,,,0
Biscayne NP,,,,,2025,June,45403,,136210,,,,0,,,,0
