Title2
Total NonRecreation Visits for Apr 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"14,224,808","13,389,068","-835,740","54,680,896","52,332,376","-2,348,520"
