Title2
Total Concessioner Camping for Apr 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Badlands NP,431,388,-43,431,465,34, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Big Bend NP,406,189,-217,"1,471","1,405",-66, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Canyon de Chelly NM,"2,817","2,577",-240,"4,056","4,104",48, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Death Valley NP,379,397,18,"1,174","1,494",320, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Delaware Water Gap NRA,0,278,278,0,278,278, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Everglades NP,"6,117","6,529",412,"6,117","98,016","91,899", Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Glen Canyon NRA,"1,243","2,600","1,357","2,683","3,950","1,267", Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Grand Canyon NP,"7,395","7,856",461,"18,330","18,128",-202, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Grand Teton NP,526,0,-526,526,0,-526, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Hawaii Volcanoes NP,307,329,22,"1,748","1,623",-125, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Lake Mead NRA,"17,875","17,893",18,"72,637","69,943","-2,694", Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Lake Roosevelt NRA,0,102,102,0,159,159, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Olympic NP,0,6,6,0,6,6, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Pinnacles NP,"6,797","16,212","9,415","14,051","42,271","28,220", Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Point Reyes NS,0,38,38,0,38,38, Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Prince William Forest Park,0,"2,658","2,658",0,"9,369","9,369", Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Virgin Islands NP,"1,369","1,504",135,"9,737","6,692","-3,045", Total,"46,196","60,022","13,826","133,839","258,685","124,846"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Whiskeytown NRA,534,466,-68,878,744,-134, Total,"46,196","60,022","13,826","133,839","258,685","124,846"

Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32
Total for APR 2024,"46,196",Total for YTD 2024,"133,839",Total for APR 2025,"60,022",Total for YTD 2025,"258,685","13,826","124,846",29.93%,93.28%

