Title2
Total NonRecreation Overnight Stays for Apr 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Amistad NRA,0,4,4,0,4,4, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Bering Land Bridge NPRES,24,24,0,242,242,0, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Cape Hatteras NS,0,0,0,0,4,4, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Cape Krusenstern NM,348,345,-3,"1,073","1,045",-28, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Channel Islands NP,458,458,0,"1,938","1,938",0, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Dry Tortugas NP,150,252,102,609,618,9, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Glacier Bay NP & PRES,80,0,-80,300,220,-80, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Isle Royale NP,16,0,-16,107,0,-107, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Kobuk Valley NP,456,450,-6,"1,756","1,707",-49, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Noatak NPRES,450,445,-5,"1,500","1,445",-55, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Organ Pipe Cactus NM,25,11,-14,116,46,-70, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Valles Caldera NPRES,0,18,18,0,18,18, Total,"2,014","2,007",-7,"8,677","7,287","-1,390"
APR 2024,APR 2025,YTD 2024,YTD 2025,,Virgin Islands NP,7,0,-7,"1,036",0,"-1,036", Total,"2,014","2,007",-7,"8,677","7,287","-1,390"

Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32
Total for APR 2024,"2,014",Total for YTD 2024,"8,677",Total for APR 2025,"2,007",Total for YTD 2025,"7,287",-7,"-1,390",-0.35%,-16.02%

