Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Apostle Islands NL,,,,,14,4,,,-10,14,,4,,-10,
Arches NP,,,,,1,3,,,2,1,,3,,2,
Assateague Island NS,,,,,26,15,,,-11,45,,18,,-27,
Badlands NP,,,,,16,0,,,-16,16,,6,,-10,
Bandelier NM,,,,,11,0,,,-11,15,,3,,-12,
Bering Land Bridge NPRES,,,,,70,70,,,0,185,,185,,0,
Big Bend NP,,,,,"4,809","3,411",,,"-1,398","9,017",,"7,974",,"-1,043",
Big Cypress NPRES,,,,,103,135,,,32,399,,484,,85,
Big South Fork NRRA,,,,,479,384,,,-95,615,,588,,-27,
Big Thicket NPRES,,,,,99,13,,,-86,164,,35,,-129,
Bryce Canyon NP,,,,,1,0,,,-1,7,,3,,-4,
Buffalo NR,,,,,0,0,,,0,0,,45,,45,
Canaveral NS,,,,,390,529,,,139,861,,"1,013",,152,
Canyon de Chelly NM,,,,,0,1,,,1,0,,1,,1,
Canyonlands NP,,,,,572,641,,,69,697,,809,,112,
Cape Krusenstern NM,,,,,300,295,,,-5,600,,580,,-20,
Capitol Reef NP,,,,,20,5,,,-15,24,,11,,-13,
Carlsbad Caverns NP,,,,,0,8,,,8,0,,30,,30,
Catoctin Mountain Park,,,,,37,11,,,-26,73,,35,,-38,
Channel Islands NP,,,,,"1,210",0,,,"-1,210","2,513",,0,,"-2,513",
Colorado NM,,,,,0,1,,,1,0,,1,,1,
Congaree NP,,,,,40,29,,,-11,56,,68,,12,
Crater Lake NP,,,,,57,39,,,-18,88,,111,,23,
Craters of the Moon NM & PRES,,,,,3,0,,,-3,3,,0,,-3,
Cumberland Gap NHP,,,,,30,29,,,-1,31,,33,,2,
Cumberland Island NS,,,,,453,413,,,-40,622,,600,,-22,
Death Valley NP,,,,,"1,064","2,485",,,"1,421","2,190",,"4,419",,"2,229",
Delaware Water Gap NRA,,,,,305,305,,,0,547,,547,,0,
Denali NP & PRES,,,,,100,37,,,-63,110,,117,,7,
Dinosaur NM,,,,,14,0,,,-14,16,,0,,-16,
Everglades NP,,,,,"2,867","3,217",,,350,"6,437",,"7,006",,569,
Fire Island NS,,,,,0,6,,,6,2,,14,,12,
Glacier Bay NP & PRES,,,,,0,0,,,0,8,,8,,0,
Glacier NP,,,,,50,7,,,-43,69,,9,,-60,
Glen Canyon NRA,,,,,0,0,,,0,14,,15,,1,
Grand Canyon NP,,,,,"9,530","8,469",,,"-1,061","17,047",,"16,391",,-656,
