Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Amistad NRA,,,,,0,0,,,0,0,,60,,60,
Arches NP,,,,,0,79,,,79,0,,79,,79,
Assateague Island NS,,,,,0,0,,,0,7,,0,,-7,
Bandelier NM,,,,,44,20,,,-24,44,,20,,-24,
Big Bend NP,,,,,"1,845","1,760",,,-85,"2,937",,"3,118",,181,
Big Cypress NPRES,,,,,69,9,,,-60,80,,19,,-61,
Bighorn Canyon NRA,,,,,0,3,,,3,11,,3,,-8,
Biscayne NP,,,,,155,197,,,42,335,,427,,92,
Buck Island Reef NM,,,,,360,360,,,0,720,,720,,0,
Buffalo NR,,,,,0,271,,,271,0,,440,,440,
Cape Cod NS,,,,,379,402,,,23,774,,646,,-128,
Cape Hatteras NS,,,,,36,0,,,-36,52,,8,,-44,
Catoctin Mountain Park,,,,,50,100,,,50,104,,112,,8,
Channel Islands NP,,,,,504,504,,,0,"1,400",,"1,400",,0,
Chesapeake & Ohio Canal NHP,,,,,371,188,,,-183,707,,378,,-329,
Chickamauga & Chattanooga NMP,,,,,170,159,,,-11,170,,192,,22,
Chickasaw NRA,,,,,0,20,,,20,0,,20,,20,
Chiricahua NM,,,,,113,137,,,24,171,,235,,64,
Congaree NP,,,,,248,562,,,314,476,,832,,356,
Cowpens NB,,,,,0,1,,,1,71,,2,,-69,
Cuyahoga Valley NP,,,,,280,30,,,-250,550,,55,,-495,
Death Valley NP,,,,,75,64,,,-11,134,,114,,-20,
Delaware Water Gap NRA,,,,,387,343,,,-44,"1,136",,"1,071",,-65,
Dry Tortugas NP,,,,,593,826,,,233,"1,136",,"1,068",,-68,
Everglades NP,,,,,362,52,,,-310,616,,98,,-518,
Fort Necessity NB,,,,,29,60,,,31,60,,122,,62,
Gateway NRA,,,,,54,12,,,-42,77,,25,,-52,
Glacier Bay NP & PRES,,,,,82,82,,,0,197,,197,,0,
Glen Canyon NRA,,,,,112,0,,,-112,112,,223,,111,
Grand Canyon NP,,,,,141,144,,,3,251,,270,,19,
Greenbelt Park,,,,,0,6,,,6,0,,6,,6,
Guadalupe Mountains NP,,,,,157,206,,,49,253,,504,,251,
Gulf Islands NS,,,,,386,239,,,-147,636,,653,,17,
Haleakala NP,,,,,377,442,,,65,851,,"1,053",,202,
Hawaii Volcanoes NP,,,,,"5,490","5,477",,,-13,"11,169",,"12,397",,"1,228",
Joshua Tree NP,,,,,"8,190","5,967",,,"-2,223","13,351",,"14,520",,"1,169",
Kenai Fjords NP,,,,,31,23,,,-8,59,,48,,-11,
Lake Mead NRA,,,,,"2,820","2,635",,,-185,"5,342",,"5,094",,-248,
Lake Meredith NRA,,,,,211,149,,,-62,330,,356,,26,
Mojave NPRES,,,,,75,64,,,-11,125,,82,,-43,
Organ Pipe Cactus NM,,,,,18,120,,,102,35,,399,,364,
Ozark NSR,,,,,25,22,,,-3,38,,47,,9,
Padre Island NS,,,,,35,19,,,-16,66,,48,,-18,
Prince William Forest Park,,,,,485,"1,179",,,694,865,,"1,756",,891,
San Francisco Maritime NHP,,,,,23,10,,,-13,36,,29,,-7,
Virgin Islands NP,,,,,"2,916",0,,,"-2,916","4,570",,0,,"-4,570",
Wrangell-St. Elias NP & PRES,,,,,2,2,,,0,4,,2,,-2,
Yosemite NP,,,,,150,360,,,210,390,,600,,210,
Zion NP,,,,,423,549,,,126,518,,682,,164,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
