Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Acadia NP,,,,,600,600,,,0,"1,200",,"1,200",,0,
Adams NHP,,,,,18,20,,,2,28,,37,,9,
Allegheny Portage Railroad NHS,,,,,4,4,,,0,8,,8,,0,
Amache NHS,,,,,0,8,,,8,0,,16,,16,
Arches NP,,,,,236,200,,,-36,242,,418,,176,
Assateague Island NS,,,,,300,300,,,0,600,,600,,0,
Aztec Ruins NM,,,,,14,4,,,-10,21,,8,,-13,
Badlands NP,,,,,988,988,,,0,"2,021",,"2,021",,0,
Bandelier NM,,,,,18,18,,,0,36,,36,,0,
Bering Land Bridge NPRES,,,,,"2,144","2,144",,,0,"5,392",,"5,392",,0,
Big Bend NP,,,,,675,675,,,0,"1,350",,"1,350",,0,
Bighorn Canyon NRA,,,,,112,113,,,1,224,,226,,2,
Blue Ridge PKWY,,,,,"41,454","41,454",,,0,"82,908",,"82,908",,0,
Booker T. Washington NM,,,,,1,1,,,0,2,,2,,0,
Boston NHP,,,,,673,612,,,-61,"1,316",,"1,285",,-31,
Bryce Canyon NP,,,,,"5,460","5,460",,,0,"11,760",,"11,760",,0,
Cabrillo NM,,,,,"1,550","1,550",,,0,"3,264",,"3,264",,0,
Canyon de Chelly NM,,,,,"59,346","114,630",,,"55,284","110,840",,"233,359",,"122,519",
Cape Cod NS,,,,,"4,566","4,566",,,0,"9,588",,"9,588",,0,
Cape Hatteras NS,,,,,"9,107","7,322",,,"-1,785","18,127",,"15,725",,"-2,402",
Cape Krusenstern NM,,,,,"7,200","6,920",,,-280,"14,400",,"13,760",,-640,
Cape Lookout NS,,,,,540,540,,,0,"1,080",,"1,080",,0,
Capitol Reef NP,,,,,"7,704","8,646",,,942,"14,138",,"16,346",,"2,208",
Capulin Volcano NM,,,,,39,39,,,0,66,,76,,10,
Casa Grande Ruins NM,,,,,18,18,,,0,36,,36,,0,
Castle Clinton NM,,,,,2,4,,,2,5,,15,,10,
Catoctin Mountain Park,,,,,"3,254","1,680",,,"-1,574","6,853",,"3,411",,"-3,442",
Cedar Breaks NM,,,,,930,930,,,0,"1,860",,"1,860",,0,
Chaco Culture NHP,,,,,880,880,,,0,"1,760",,"1,760",,0,
Chamizal NMEM,,,,,"39,826","42,413",,,"2,587","77,748",,"71,561",,"-6,187",
Channel Islands NP,,,,,"8,208","8,208",,,0,"24,720",,"24,720",,0,
Chesapeake & Ohio Canal NHP,,,,,990,990,,,0,"1,980",,"1,980",,0,
Chickamauga & Chattanooga NMP,,,,,"26,506","26,518",,,12,"51,896",,"52,324",,428,
Chiricahua NM,,,,,100,100,,,0,200,,200,,0,
Colonial NHP,,,,,"49,401","-5,217",,,"-54,618","104,225",,"7,237",,"-96,988",
Colorado NM,,,,,"10,769","13,478",,,"2,709","22,990",,"25,507",,"2,517",
Coronado NMEM,,,,,104,104,,,0,208,,208,,0,
Crater Lake NP,,,,,"1,200","1,200",,,0,"2,250",,"2,250",,0,
Cumberland Gap NHP,,,,,"259,838","226,682",,,"-33,156","478,752",,"434,605",,"-44,147",
Death Valley NP,,,,,"7,559","7,129",,,-430,"12,758",,"14,551",,"1,793",
Delaware Water Gap NRA,,,,,"2,250","2,250",,,0,"4,500",,"4,500",,0,
Denali NP & PRES,,,,,"3,660","3,661",,,1,"7,256",,"7,257",,1,
Devils Tower NM,,,,,32,49,,,17,56,,100,,44,
Dinosaur NM,,,,,61,61,,,0,122,,122,,0,
Dry Tortugas NP,,,,,"2,124","1,800",,,-324,"3,636",,"2,664",,-972,
Effigy Mounds NM,,,,,17,17,,,0,34,,34,,0,
Eisenhower NHS,,,,,0,21,,,21,0,,44,,44,
El Malpais NM,,,,,15,15,,,0,30,,30,,0,
El Morro NM,,,,,178,191,,,13,318,,373,,55,
Emmett Till and Mamie Till-Mobley NM,,,,,590,590,,,0,"1,180",,"1,180",,0,
Everglades NP,,,,,"2,700","2,700",,,0,"5,400",,"5,400",,0,
Federal Hall NMEM,,,,,"4,520",1,,,"-4,519","5,022",,3,,"-5,019",
Fire Island NS,,,,,"58,779","58,491",,,-288,"114,777",,"126,954",,"12,177",
First State NHP,,,,,56,56,,,0,112,,112,,0,
Ford's Theatre NHS,,,,,0,"2,178",,,"2,178",0,,"2,178",,"2,178",
Fort Davis NHS,,,,,17,16,,,-1,141,,31,,-110,
Fort Donelson NB,,,,,"1,130",996,,,-134,"2,180",,"2,052",,-128,
Fort Frederica NM,,,,,37,37,,,0,74,,74,,0,
Fort McHenry NM & HS,,,,,30,30,,,0,60,,60,,0,
Fort Necessity NB,,,,,4,4,,,0,8,,8,,0,
Fort Pulaski NM,,,,,888,900,,,12,"1,854",,"1,642",,-212,
Fort Raleigh NHS,,,,,112,112,,,0,224,,224,,0,
Fort Scott NHS,,,,,10,2,,,-8,15,,5,,-10,
