Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Bering Land Bridge NPRES,,,,,45,45,,,0,167,,167,,0,
Cape Hatteras NS,,,,,0,0,,,0,0,,4,,4,
Cape Krusenstern NM,,,,,200,190,,,-10,400,,380,,-20,
Channel Islands NP,,,,,342,342,,,0,"1,030",,"1,030",,0,
Dry Tortugas NP,,,,,177,150,,,-27,303,,222,,-81,
Glacier Bay NP & PRES,,,,,180,180,,,0,180,,180,,0,
Isle Royale NP,,,,,0,0,,,0,91,,0,,-91,
Kobuk Valley NP,,,,,400,380,,,-20,900,,867,,-33,
Noatak NPRES,,,,,350,330,,,-20,650,,615,,-35,
Organ Pipe Cactus NM,,,,,5,16,,,11,49,,35,,-14,
Virgin Islands NP,,,,,324,0,,,-324,508,,0,,-508,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
