Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Acadia NP,,,,,600,600,,,0,"1,200",,"1,200",,0,
Adams NHP,,,,,35,40,,,5,56,,73,,17,
Allegheny Portage Railroad NHS,,,,,15,15,,,0,30,,30,,0,
Amache NHS,,,,,0,25,,,25,0,,50,,50,
Arches NP,,,,,48,41,,,-7,50,,68,,18,
Assateague Island NS,,,,,300,300,,,0,600,,600,,0,
Aztec Ruins NM,,,,,14,4,,,-10,21,,8,,-13,
Badlands NP,,,,,"1,976","1,976",,,0,"4,042",,"4,042",,0,
Bandelier NM,,,,,70,70,,,0,140,,140,,0,
Bering Land Bridge NPRES,,,,,133,133,,,0,173,,173,,0,
Big Bend NP,,,,,225,225,,,0,450,,450,,0,
Bighorn Canyon NRA,,,,,225,225,,,0,450,,450,,0,
Blue Ridge PKWY,,,,,"82,908","82,908",,,0,"165,816",,"165,816",,0,
Booker T. Washington NM,,,,,7,7,,,0,14,,14,,0,
Boston NHP,,,,,"3,960","3,600",,,-360,"7,740",,"7,560",,-180,
Bryce Canyon NP,,,,,"18,200","18,200",,,0,"39,200",,"39,200",,0,
Cabrillo NM,,,,,"6,200","6,200",,,0,"13,056",,"13,056",,0,
Canyon de Chelly NM,,,,,"29,673","57,315",,,"27,642","55,420",,"116,679",,"61,259",
Cape Cod NS,,,,,761,761,,,0,"1,598",,"1,598",,0,
Cape Hatteras NS,,,,,"3,036","2,441",,,-595,"6,043",,"5,226",,-817,
Cape Krusenstern NM,,,,,300,295,,,-5,600,,580,,-20,
Cape Lookout NS,,,,,180,180,,,0,360,,360,,0,
Capitol Reef NP,,,,,"7,704","8,646",,,942,"14,138",,"16,346",,"2,208",
Capulin Volcano NM,,,,,39,39,,,0,66,,76,,10,
Casa Grande Ruins NM,,,,,180,180,,,0,360,,360,,0,
Castle Clinton NM,,,,,12,22,,,10,27,,47,,20,
Catoctin Mountain Park,,,,,"34,182","14,502",,,"-19,680","72,507",,"29,638",,"-42,869",
Cedar Breaks NM,,,,,465,465,,,0,930,,930,,0,
