Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Abraham Lincoln Birthplace NHP,,,,,"10,208","7,156",,,"-3,052","18,628",,"12,527",,"-6,101",
Acadia NP,,,,,"92,870","68,326",,,"-24,544","195,418",,"155,335",,"-40,083",
Adams NHP,,,,,230,226,,,-4,426,,421,,-5,
African Burial Ground NM,,,,,"2,302","1,920",,,-382,"3,594",,"3,078",,-516,
Agate Fossil Beds NM,,,,,418,181,,,-237,602,,341,,-261,
Alibates Flint Quarries NM,,,,,308,905,,,597,"1,018",,"1,680",,662,
Allegheny Portage Railroad NHS,,,,,"19,428","14,176",,,"-5,252","27,744",,"21,605",,"-6,139",
Amache NHS,,,,,0,453,,,453,0,,714,,714,
Amistad NRA,,,,,"427,045","373,157",,,"-53,888","786,771",,"726,478",,"-60,293",
Andersonville NHS,,,,,"12,544","9,852",,,"-2,692","18,719",,"15,730",,"-2,989",
Andrew Johnson NHS,,,,,"1,797","1,160",,,-637,"2,643",,"2,075",,-568,
Antietam NB,,,,,"11,516","7,168",,,"-4,348","16,699",,"11,623",,"-5,076",
Apostle Islands NL,,,,,"6,111","4,654",,,"-1,457","9,608",,"9,437",,-171,
Appomattox Court House NHP,,,,,"4,337","2,167",,,"-2,170","6,771",,"4,056",,"-2,715",
Arches NP,,,,,"338,902","336,401",,,"-2,501","521,680",,"542,279",,"20,599",
Arkansas Post NMEM,,,,,"1,793","2,599",,,806,"3,529",,"5,314",,"1,785",
Arlington House The R.E. Lee MEM,,,,,"9,330","8,250",,,"-1,080","14,927",,"13,750",,"-1,177",
Assateague Island NS,,,,,"474,125","341,994",,,"-132,131","878,861",,"705,422",,"-173,439",
Aztec Ruins NM,,,,,"1,893","5,027",,,"3,134","3,185",,"6,962",,"3,777",
Badlands NP,,,,,"40,800","39,482",,,"-1,318","74,200",,"78,503",,"4,303",
Bandelier NM,,,,,"22,890","38,039",,,"15,149","36,525",,"64,687",,"28,162",
Belmont-Paul Women's Equality NM,,,,,470,715,,,245,840,,835,,-5,
Bent's Old Fort NHS,,,,,390,301,,,-89,677,,350,,-327,
Bering Land Bridge NPRES,,,,,"2,061","2,061",,,0,"5,601",,"5,601",,0,
Big Bend NP,,,,,"1,053,581","1,057,666",,,"4,085","2,003,291",,"2,129,954",,"126,663",
Big Cypress NPRES,,,,,"548,610","1,000,724",,,"452,114","1,166,711",,"1,795,788",,"629,077",
Big Hole NB,,,,,256,272,,,16,401,,539,,138,
Big South Fork NRRA,,,,,"247,140","166,078",,,"-81,062","465,508",,"379,020",,"-86,488",
Big Thicket NPRES,,,,,"47,203","35,411",,,"-11,792","93,007",,"77,098",,"-15,909",
Bighorn Canyon NRA,,,,,"17,245","18,166",,,921,"33,383",,"33,755",,372,
Biscayne NP,,,,,"117,805","125,098",,,"7,293","218,548",,"226,665",,"8,117",
Black Canyon of the Gunnison NP,,,,,"15,880","14,435",,,"-1,445","30,926",,"32,001",,"1,075",
Blue Ridge PKWY,,,,,"5,514,316","3,597,930",,,"-1,916,386","8,445,158",,"6,285,105",,"-2,160,053",
Bluestone NSR,,,,,336,188,,,-148,790,,642,,-148,
Booker T. Washington NM,,,,,"1,617",995,,,-622,"2,451",,"1,752",,-699,
Boston African American NHS,,,,,"5,822","6,594",,,772,"8,908",,"9,078",,170,
Boston NHP,,,,,"40,387","28,393",,,"-11,994","63,988",,"59,551",,"-4,437",
Brown v. Board of Education NHP,,,,,"3,744","1,940",,,"-1,804","5,086",,"3,882",,"-1,204",
Bryce Canyon NP,,,,,"128,531","153,635",,,"25,104","233,093",,"282,949",,"49,856",
Buck Island Reef NM,,,,,"27,578","14,436",,,"-13,142","56,834",,"41,171",,"-15,663",
Buffalo NR,,,,,"175,589","140,267",,,"-35,322","270,253",,"246,121",,"-24,132",
Cabrillo NM,,,,,"102,339","97,256",,,"-5,083","206,193",,"210,852",,"4,659",
Camp Nelson NM,,,,,"1,888",532,,,"-1,356","2,272",,"1,188",,"-1,084",
Canaveral NS,,,,,"379,651","489,338",,,"109,687","694,774",,"853,266",,"158,492",
Cane River Creole NHP,,,,,"1,986","1,730",,,-256,"2,387",,"3,410",,"1,023",
Canyon de Chelly NM,,,,,"87,606","159,273",,,"71,667","160,712",,"323,649",,"162,937",
Canyonlands NP,,,,,"91,552","95,581",,,"4,029","127,916",,"147,699",,"19,783",
Cape Cod NS,,,,,"209,323","200,034",,,"-9,289","387,209",,"400,573",,"13,364",
Cape Hatteras NS,,,,,"258,147","194,944",,,"-63,203","504,497",,"420,650",,"-83,847",
Cape Krusenstern NM,,,,,"9,732","9,576",,,-156,"19,454",,"18,953",,-501,
Cape Lookout NS,,,,,"14,232","13,287",,,-945,"42,090",,"40,570",,"-1,520",
Capitol Reef NP,,,,,"29,417","25,214",,,"-4,203","48,386",,"41,999",,"-6,387",
Capulin Volcano NM,,,,,"2,048","2,313",,,265,"3,887",,"4,445",,558,
Carl Sandburg Home NHS,,,,,"14,406","3,571",,,"-10,835","24,014",,"7,514",,"-16,500",
