Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Abraham Lincoln Birthplace NHP,,,,,"10,208","7,156",,,"-3,052","18,628",,"12,527",,"-6,101",
Acadia NP,,,,,"14,071","10,352",,,"-3,719","29,609",,"23,535",,"-6,074",
Adams NHP,,,,,461,452,,,-9,852,,841,,-11,
African Burial Ground NM,,,,,"3,234","3,093",,,-141,"5,378",,"4,745",,-633,
Agate Fossil Beds NM,,,,,172,88,,,-84,241,,195,,-46,
Alibates Flint Quarries NM,,,,,123,362,,,239,407,,672,,265,
Allegheny Portage Railroad NHS,,,,,"12,328","8,583",,,"-3,745","17,179",,"12,879",,"-4,300",
Amache NHS,,,,,0,453,,,453,0,,714,,714,
Amistad NRA,,,,,"57,106","49,371",,,"-7,735","104,990",,"94,993",,"-9,997",
Andersonville NHS,,,,,"6,272","4,926",,,"-1,346","9,360",,"7,865",,"-1,495",
Andrew Johnson NHS,,,,,"4,481","2,848",,,"-1,633","6,605",,"4,993",,"-1,612",
Antietam NB,,,,,"5,758","3,584",,,"-2,174","8,349",,"5,811",,"-2,538",
Apostle Islands NL,,,,,"4,213","3,298",,,-915,"6,961",,"6,598",,-363,
Appomattox Court House NHP,,,,,"2,986","1,492",,,"-1,494","4,662",,"2,792",,"-1,870",
Arches NP,,,,,"51,510","51,541",,,31,"79,598",,"83,411",,"3,813",
Arkansas Post NMEM,,,,,"1,196","1,733",,,537,"2,353",,"3,543",,"1,190",
Arlington House The R.E. Lee MEM,,,,,"18,660","16,500",,,"-2,160","29,855",,"27,500",,"-2,355",
Assateague Island NS,,,,,"57,928","41,652",,,"-16,276","107,359",,"86,474",,"-20,885",
Aztec Ruins NM,,,,,"1,262","3,351",,,"2,089","2,123",,"4,641",,"2,518",
Badlands NP,,,,,"10,397","10,111",,,-286,"18,946",,"20,073",,"1,127",
Bandelier NM,,,,,"5,417","10,601",,,"5,184","9,221",,"18,623",,"9,402",
Belmont-Paul Women's Equality NM,,,,,470,715,,,245,840,,835,,-5,
Bent's Old Fort NHS,,,,,223,172,,,-51,387,,200,,-187,
Bering Land Bridge NPRES,,,,,127,127,,,0,387,,387,,0,
Big Bend NP,,,,,"48,302","52,227",,,"3,925","88,800",,"101,228",,"12,428",
Big Cypress NPRES,,,,,"258,142","453,565",,,"195,423","512,600",,"901,163",,"388,563",
Big Hole NB,,,,,256,272,,,16,401,,539,,138,
Big South Fork NRRA,,,,,"38,715","25,244",,,"-13,471","73,889",,"58,709",,"-15,180",
Big Thicket NPRES,,,,,"18,667","14,550",,,"-4,117","36,663",,"31,073",,"-5,590",
Bighorn Canyon NRA,,,,,"4,987","5,164",,,177,"10,120",,"10,181",,61,
Biscayne NP,,,,,"37,428","40,123",,,"2,695","69,129",,"72,139",,"3,010",
