Park,,,,,FEB 2024,FEB 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Amistad NRA,,,,,848,"1,063",,,215,"1,696",,"2,693",,997,
Arches NP,,,,,"1,003",948,,,-55,"1,485",,"1,433",,-52,
Assateague Island NS,,,,,423,394,,,-29,762,,580,,-182,
Badlands NP,,,,,0,1,,,1,0,,3,,3,
Bandelier NM,,,,,263,252,,,-11,381,,381,,0,
Big Bend NP,,,,,"5,061","4,666",,,-395,"9,425",,"9,068",,-357,
Big Cypress NPRES,,,,,"5,592","5,565",,,-27,"13,988",,"6,676",,"-7,312",
Big South Fork NRRA,,,,,367,239,,,-128,511,,372,,-139,
Black Canyon of the Gunnison NP,,,,,35,7,,,-28,82,,26,,-56,
Bryce Canyon NP,,,,,235,686,,,451,410,,"1,068",,658,
Buffalo NR,,,,,100,152,,,52,170,,515,,345,
Canyonlands NP,,,,,250,446,,,196,406,,650,,244,
Cape Hatteras NS,,,,,854,552,,,-302,"1,525",,"1,033",,-492,
Capitol Reef NP,,,,,225,362,,,137,308,,526,,218,
Chaco Culture NHP,,,,,138,232,,,94,168,,329,,161,
Chesapeake & Ohio Canal NHP,,,,,19,22,,,3,20,,26,,6,
Chickasaw NRA,,,,,395,231,,,-164,733,,500,,-233,
Chiricahua NM,,,,,496,"1,122",,,626,"1,265",,"1,938",,673,
Colorado NM,,,,,130,67,,,-63,219,,98,,-121,
Cumberland Gap NHP,,,,,372,174,,,-198,452,,236,,-216,
Curecanti NRA,,,,,80,48,,,-32,80,,64,,-16,
Death Valley NP,,,,,"13,722","14,006",,,284,"24,909",,"25,609",,700,
Dinosaur NM,,,,,22,14,,,-8,36,,19,,-17,
El Morro NM,,,,,57,36,,,-21,78,,62,,-16,
Gauley River NRA,,,,,40,40,,,0,83,,83,,0,
Glacier NP,,,,,66,0,,,-66,132,,0,,-132,
Glen Canyon NRA,,,,,2,"1,037",,,"1,035",2,,"1,379",,"1,377",
Grand Canyon NP,,,,,774,419,,,-355,"1,449",,748,,-701,
Grand Teton NP,,,,,0,0,,,0,0,,29,,29,
Great Basin NP,,,,,63,116,,,53,105,,176,,71,
Great Smoky Mountains NP,,,,,800,402,,,-398,"1,068",,775,,-293,
Greenbelt Park,,,,,143,169,,,26,270,,375,,105,
Guadalupe Mountains NP,,,,,819,736,,,-83,"1,307",,"1,338",,31,
Gulf Islands NS,,,,,"13,270","10,592",,,"-2,678","22,395",,"19,754",,"-2,641",
Hawaii Volcanoes NP,,,,,4,0,,,-4,10,,0,,-10,
Hot Springs NP,,,,,"2,871","2,783",,,-88,"5,001",,"5,764",,763,
Hovenweep NM,,,,,16,60,,,44,23,,81,,58,
Joshua Tree NP,,,,,"14,322","12,297",,,"-2,025","27,786",,"25,170",,"-2,616",
Kings Canyon NP,,,,,80,169,,,89,112,,395,,283,
Lake Mead NRA,,,,,"6,146","6,553",,,407,"10,560",,"11,933",,"1,373",
Lake Meredith NRA,,,,,"1,746",950,,,-796,"2,723",,"2,250",,-473,
Lake Roosevelt NRA,,,,,242,96,,,-146,297,,181,,-116,
Lassen Volcanic NP,,,,,42,81,,,39,69,,126,,57,
Lava Beds NM,,,,,45,53,,,8,90,,93,,3,
Mojave NPRES,,,,,146,504,,,358,256,,"1,219",,963,
Natchez Trace PKWY,,,,,519,579,,,60,"1,092",,"1,125",,33,
Natural Bridges NM,,,,,55,0,,,-55,68,,0,,-68,
Navajo NM,,,,,66,58,,,-8,92,,99,,7,
New River Gorge NP & PRES,,,,,104,104,,,0,230,,230,,0,
Olympic NP,,,,,"1,192",521,,,-671,"1,583",,"1,423",,-160,
Organ Pipe Cactus NM,,,,,"15,650","14,921",,,-729,"27,204",,"28,020",,816,
Ozark NSR,,,,,292,308,,,16,376,,356,,-20,
Padre Island NS,,,,,"5,135","3,043",,,"-2,092","8,402",,"6,278",,"-2,124",
Ross Lake NRA,,,,,15,2,,,-13,15,,6,,-9,
Sequoia NP,,,,,528,805,,,277,811,,"1,514",,703,
Sleeping Bear Dunes NL,,,,,99,31,,,-68,204,,113,,-91,
Theodore Roosevelt NP,,,,,32,30,,,-2,35,,54,,19,
Whiskeytown NRA,,,,,32,30,,,-2,121,,47,,-74,
Wind Cave NP,,,,,0,12,,,12,8,,24,,16,
Yellowstone NP,,,,,0,25,,,25,0,,52,,52,
Yosemite NP,,,,,"4,360","5,184",,,824,"8,072",,"9,592",,"1,520",
Zion NP,,,,,"4,080","4,128",,,48,"6,368",,"6,525",,157,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
