Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Assateague Island NS,,,,,19,3,,,-16,19,,3,,-16,
Badlands NP,,,,,0,6,,,6,0,,6,,6,
Bandelier NM,,,,,4,3,,,-1,4,,3,,-1,
Bering Land Bridge NPRES,,,,,115,115,,,0,115,,115,,0,
Big Bend NP,,,,,"4,208","4,563",,,355,"4,208",,"4,563",,355,
Big Cypress NPRES,,,,,296,349,,,53,296,,349,,53,
Big South Fork NRRA,,,,,136,204,,,68,136,,204,,68,
Big Thicket NPRES,,,,,65,22,,,-43,65,,22,,-43,
Bryce Canyon NP,,,,,6,3,,,-3,6,,3,,-3,
Buffalo NR,,,,,0,45,,,45,0,,45,,45,
Canaveral NS,,,,,471,484,,,13,471,,484,,13,
Canyonlands NP,,,,,125,168,,,43,125,,168,,43,
Cape Krusenstern NM,,,,,300,285,,,-15,300,,285,,-15,
Capitol Reef NP,,,,,4,6,,,2,4,,6,,2,
Carlsbad Caverns NP,,,,,0,22,,,22,0,,22,,22,
Catoctin Mountain Park,,,,,36,24,,,-12,36,,24,,-12,
Channel Islands NP,,,,,"1,303",0,,,"-1,303","1,303",,0,,"-1,303",
Congaree NP,,,,,16,39,,,23,16,,39,,23,
Crater Lake NP,,,,,31,72,,,41,31,,72,,41,
Cumberland Gap NHP,,,,,1,4,,,3,1,,4,,3,
Cumberland Island NS,,,,,169,187,,,18,169,,187,,18,
Death Valley NP,,,,,"1,126","1,934",,,808,"1,126",,"1,934",,808,
Delaware Water Gap NRA,,,,,242,242,,,0,242,,242,,0,
Denali NP & PRES,,,,,10,80,,,70,10,,80,,70,
Dinosaur NM,,,,,2,0,,,-2,2,,0,,-2,
Everglades NP,,,,,"3,570","3,789",,,219,"3,570",,"3,789",,219,
Fire Island NS,,,,,2,8,,,6,2,,8,,6,
Glacier Bay NP & PRES,,,,,8,8,,,0,8,,8,,0,
Glacier NP,,,,,19,2,,,-17,19,,2,,-17,
Glen Canyon NRA,,,,,14,15,,,1,14,,15,,1,
Grand Canyon NP,,,,,"7,517","7,922",,,405,"7,517",,"7,922",,405,
Grand Teton NP,,,,,43,315,,,272,43,,315,,272,
Great Basin NP,,,,,2,0,,,-2,2,,0,,-2,
Great Sand Dunes NP & PRES,,,,,16,51,,,35,16,,51,,35,
Great Smoky Mountains NP,,,,,"1,072",767,,,-305,"1,072",,767,,-305,
Guadalupe Mountains NP,,,,,93,106,,,13,93,,106,,13,
Haleakala NP,,,,,373,409,,,36,373,,409,,36,
Hawaii Volcanoes NP,,,,,490,520,,,30,490,,520,,30,
Joshua Tree NP,,,,,"1,621","1,452",,,-169,"1,621",,"1,452",,-169,
Katahdin Woods and Waters NM,,,,,0,48,,,48,0,,48,,48,
Kobuk Valley NP,,,,,300,290,,,-10,300,,290,,-10,
Lake Mead NRA,,,,,"1,668","2,617",,,949,"1,668",,"2,617",,949,
Lassen Volcanic NP,,,,,5,34,,,29,5,,34,,29,
Mammoth Cave NP,,,,,67,30,,,-37,67,,30,,-37,
Mount Rainier NP,,,,,216,243,,,27,216,,243,,27,
New River Gorge NP & PRES,,,,,158,158,,,0,158,,158,,0,
Noatak NPRES,,,,,300,285,,,-15,300,,285,,-15,
North Cascades NP,,,,,14,25,,,11,14,,25,,11,
Obed W&SR,,,,,0,2,,,2,0,,2,,2,
Olympic NP,,,,,212,227,,,15,212,,227,,15,
Organ Pipe Cactus NM,,,,,3,13,,,10,3,,13,,10,
Ozark NSR,,,,,40,0,,,-40,40,,0,,-40,
Padre Island NS,,,,,818,817,,,-1,818,,817,,-1,
Petrified Forest NP,,,,,19,47,,,28,19,,47,,28,
Point Reyes NS,,,,,"2,076","2,895",,,819,"2,076",,"2,895",,819,
Prince William Forest Park,,,,,21,24,,,3,21,,24,,3,
Redwood NP,,,,,108,172,,,64,108,,172,,64,
Rio Grande W&SR,,,,,0,70,,,70,0,,70,,70,
Rocky Mountain NP,,,,,33,46,,,13,33,,46,,13,
Ross Lake NRA,,,,,2,5,,,3,2,,5,,3,
Saguaro NP,,,,,209,284,,,75,209,,284,,75,
Saint Croix NSR,,,,,34,34,,,0,34,,34,,0,
Sequoia NP,,,,,11,218,,,207,11,,218,,207,
Shenandoah NP,,,,,206,129,,,-77,206,,129,,-77,
Sleeping Bear Dunes NL,,,,,3,10,,,7,3,,10,,7,
Theodore Roosevelt NP,,,,,0,4,,,4,0,,4,,4,
Voyageurs NP,,,,,40,16,,,-24,40,,16,,-24,
Wind Cave NP,,,,,1,2,,,1,1,,2,,1,
Wrangell-St. Elias NP & PRES,,,,,22,18,,,-4,22,,18,,-4,
Yellowstone NP,,,,,53,73,,,20,53,,73,,20,
Yosemite NP,,,,,431,0,,,-431,431,,0,,-431,
Zion NP,,,,,38,101,,,63,38,,101,,63,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
