Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Badlands NP,,,,,0,5,,,5,0,,5,,5,
Big Bend NP,,,,,383,363,,,-20,383,,363,,-20,
Canyon de Chelly NM,,,,,68,318,,,250,68,,318,,250,
Death Valley NP,,,,,266,353,,,87,266,,353,,87,
Everglades NP,,,,,0,"15,244",,,"15,244",0,,"15,244",,"15,244",
Glen Canyon NRA,,,,,155,157,,,2,155,,157,,2,
Grand Canyon NP,,,,,"1,048","1,741",,,693,"1,048",,"1,741",,693,
Hawaii Volcanoes NP,,,,,500,365,,,-135,500,,365,,-135,
Lake Mead NRA,,,,,"17,340","18,345",,,"1,005","17,340",,"18,345",,"1,005",
Lake Roosevelt NRA,,,,,0,8,,,8,0,,8,,8,
Pinnacles NP,,,,,"1,809","7,061",,,"5,252","1,809",,"7,061",,"5,252",
Prince William Forest Park,,,,,0,"2,258",,,"2,258",0,,"2,258",,"2,258",
Virgin Islands NP,,,,,"2,495",0,,,"-2,495","2,495",,0,,"-2,495",
Whiskeytown NRA,,,,,132,90,,,-42,132,,90,,-42,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
