Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Acadia NP,,,,,600,600,,,0,600,,600,,0,
Adams NHP,,,,,10,17,,,7,10,,17,,7,
Allegheny Portage Railroad NHS,,,,,4,4,,,0,4,,4,,0,
Amache NHS,,,,,0,8,,,8,0,,8,,8,
Arches NP,,,,,6,218,,,212,6,,218,,212,
Assateague Island NS,,,,,300,300,,,0,300,,300,,0,
Aztec Ruins NM,,,,,7,4,,,-3,7,,4,,-3,
Badlands NP,,,,,"1,033","1,033",,,0,"1,033",,"1,033",,0,
Bandelier NM,,,,,18,18,,,0,18,,18,,0,
Bering Land Bridge NPRES,,,,,"3,248","3,248",,,0,"3,248",,"3,248",,0,
Big Bend NP,,,,,675,675,,,0,675,,675,,0,
Bighorn Canyon NRA,,,,,112,113,,,1,112,,113,,1,
Blue Ridge PKWY,,,,,"41,454","41,454",,,0,"41,454",,"41,454",,0,
Booker T. Washington NM,,,,,1,1,,,0,1,,1,,0,
Boston NHP,,,,,643,673,,,30,643,,673,,30,
Bryce Canyon NP,,,,,"6,300","6,300",,,0,"6,300",,"6,300",,0,
Cabrillo NM,,,,,"1,714","1,714",,,0,"1,714",,"1,714",,0,
Canyon de Chelly NM,,,,,"51,494","118,729",,,"67,235","51,494",,"118,729",,"67,235",
Cape Cod NS,,,,,"5,022","5,022",,,0,"5,022",,"5,022",,0,
Cape Hatteras NS,,,,,"9,020","8,403",,,-617,"9,020",,"8,403",,-617,
Cape Krusenstern NM,,,,,"7,200","6,840",,,-360,"7,200",,"6,840",,-360,
Cape Lookout NS,,,,,540,540,,,0,540,,540,,0,
Capitol Reef NP,,,,,"6,434","7,700",,,"1,266","6,434",,"7,700",,"1,266",
Capulin Volcano NM,,,,,27,37,,,10,27,,37,,10,
Casa Grande Ruins NM,,,,,18,18,,,0,18,,18,,0,
Castle Clinton NM,,,,,3,11,,,8,3,,11,,8,
Catoctin Mountain Park,,,,,"3,599","1,731",,,"-1,868","3,599",,"1,731",,"-1,868",
Cedar Breaks NM,,,,,930,930,,,0,930,,930,,0,
Chaco Culture NHP,,,,,880,880,,,0,880,,880,,0,
Chamizal NMEM,,,,,"37,922","29,148",,,"-8,774","37,922",,"29,148",,"-8,774",
Channel Islands NP,,,,,"16,512","16,512",,,0,"16,512",,"16,512",,0,
Chesapeake & Ohio Canal NHP,,,,,990,990,,,0,990,,990,,0,
Chickamauga & Chattanooga NMP,,,,,"25,390","25,806",,,416,"25,390",,"25,806",,416,
Chiricahua NM,,,,,100,100,,,0,100,,100,,0,
Colonial NHP,,,,,"54,824","12,454",,,"-42,370","54,824",,"12,454",,"-42,370",
Colorado NM,,,,,"12,221","12,029",,,-192,"12,221",,"12,029",,-192,
Coronado NMEM,,,,,104,104,,,0,104,,104,,0,
Crater Lake NP,,,,,"1,050","1,050",,,0,"1,050",,"1,050",,0,
Cumberland Gap NHP,,,,,"218,914","207,923",,,"-10,991","218,914",,"207,923",,"-10,991",
Death Valley NP,,,,,"5,199","7,422",,,"2,223","5,199",,"7,422",,"2,223",
Delaware Water Gap NRA,,,,,"2,250","2,250",,,0,"2,250",,"2,250",,0,
Denali NP & PRES,,,,,"3,596","3,596",,,0,"3,596",,"3,596",,0,
Devils Tower NM,,,,,24,51,,,27,24,,51,,27,
Dinosaur NM,,,,,61,61,,,0,61,,61,,0,
Dry Tortugas NP,,,,,"1,512",864,,,-648,"1,512",,864,,-648,
Effigy Mounds NM,,,,,17,17,,,0,17,,17,,0,
Eisenhower NHS,,,,,0,23,,,23,0,,23,,23,
El Malpais NM,,,,,15,15,,,0,15,,15,,0,
El Morro NM,,,,,140,182,,,42,140,,182,,42,
Emmett Till and Mamie Till-Mobley NM,,,,,590,590,,,0,590,,590,,0,
Everglades NP,,,,,"2,700","2,700",,,0,"2,700",,"2,700",,0,
Federal Hall NMEM,,,,,502,2,,,-500,502,,2,,-500,
Fire Island NS,,,,,"55,998","68,463",,,"12,465","55,998",,"68,463",,"12,465",
First State NHP,,,,,56,56,,,0,56,,56,,0,
Fort Davis NHS,,,,,124,15,,,-109,124,,15,,-109,
Fort Donelson NB,,,,,"1,050","1,056",,,6,"1,050",,"1,056",,6,
Fort Frederica NM,,,,,37,37,,,0,37,,37,,0,
Fort McHenry NM & HS,,,,,30,30,,,0,30,,30,,0,
Fort Necessity NB,,,,,4,4,,,0,4,,4,,0,
Fort Pulaski NM,,,,,966,742,,,-224,966,,742,,-224,
Fort Raleigh NHS,,,,,112,112,,,0,112,,112,,0,
Fort Scott NHS,,,,,5,3,,,-2,5,,3,,-2,
