Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Bering Land Bridge NPRES,,,,,122,122,,,0,122,,122,,0,
Cape Hatteras NS,,,,,0,4,,,4,0,,4,,4,
Cape Krusenstern NM,,,,,200,190,,,-10,200,,190,,-10,
Channel Islands NP,,,,,688,688,,,0,688,,688,,0,
Dry Tortugas NP,,,,,126,72,,,-54,126,,72,,-54,
Isle Royale NP,,,,,91,0,,,-91,91,,0,,-91,
Kobuk Valley NP,,,,,500,487,,,-13,500,,487,,-13,
Noatak NPRES,,,,,300,285,,,-15,300,,285,,-15,
Organ Pipe Cactus NM,,,,,44,19,,,-25,44,,19,,-25,
Virgin Islands NP,,,,,184,0,,,-184,184,,0,,-184,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
