Park,,,,,Jan-24,Jan-25,,,DIFF,YTD 2024,,YTD 2025,,DIFF
Acadia NP,,,,,600,600,,,0,600,,600,,0
Adams NHP,,,,,21,33,,,12,21,,33,,12
Allegheny Portage Railroad NHS,,,,,15,15,,,0,15,,15,,0
Amache NHS,,,,,0,25,,,25,0,,25,,25
Arches NP,,,,,2,27,,,25,2,,27,,25
Assateague Island NS,,,,,300,300,,,0,300,,300,,0
Aztec Ruins NM,,,,,7,4,,,-3,7,,4,,-3
Badlands NP,,,,,"2,066","2,066",,,0,"2,066",,"2,066",,0
Bandelier NM,,,,,70,70,,,0,70,,70,,0
Bering Land Bridge NPRES,,,,,40,40,,,0,40,,40,,0
Big Bend NP,,,,,225,225,,,0,225,,225,,0
Bighorn Canyon NRA,,,,,225,225,,,0,225,,225,,0
Blue Ridge PKWY,,,,,"82,908","82,908",,,0,"82,908",,"82,908",,0
Booker T. Washington NM,,,,,7,7,,,0,7,,7,,0
Boston NHP,,,,,"3,780","3,960",,,180,"3,780",,"3,960",,180
Bryce Canyon NP,,,,,"21,000","21,000",,,0,"21,000",,"21,000",,0
Cabrillo NM,,,,,"6,856","6,856",,,0,"6,856",,"6,856",,0
Canyon de Chelly NM,,,,,"25,747","59,364",,,"33,617","25,747",,"59,364",,"33,617"
Cape Cod NS,,,,,837,837,,,0,837,,837,,0
Cape Hatteras NS,,,,,"3,007","2,785",,,-222,"3,007",,"2,785",,-222
Cape Krusenstern NM,,,,,300,285,,,-15,300,,285,,-15
Cape Lookout NS,,,,,180,180,,,0,180,,180,,0
Capitol Reef NP,,,,,"6,434","7,700",,,"1,266","6,434",,"7,700",,"1,266"
Capulin Volcano NM,,,,,27,37,,,10,27,,37,,10
Casa Grande Ruins NM,,,,,180,180,,,0,180,,180,,0
Castle Clinton NM,,,,,15,25,,,10,15,,25,,10
Catoctin Mountain Park,,,,,"38,325","15,136",,,"-23,189","38,325",,"15,136",,"-23,189"
Cedar Breaks NM,,,,,465,465,,,0,465,,465,,0
Chaco Culture NHP,,,,,880,880,,,0,880,,880,,0
Chamizal NMEM,,,,,"10,835","8,328",,,"-2,507","10,835",,"8,328",,"-2,507"
Channel Islands NP,,,,,688,688,,,0,688,,688,,0
Chesapeake & Ohio Canal NHP,,,,,990,990,,,0,990,,990,,0
Chickamauga & Chattanooga NMP,,,,,"169,265","172,039",,,"2,774","169,265",,"172,039",,"2,774"
Chiricahua NM,,,,,300,300,,,0,300,,300,,0
Colonial NHP,,,,,"109,648","24,908",,,"-84,740","109,648",,"24,908",,"-84,740"
Colorado NM,,,,,"24,442","24,057",,,-385,"24,442",,"24,057",,-385
Coronado NMEM,,,,,209,209,,,0,209,,209,,0
Crater Lake NP,,,,,"2,100","2,100",,,0,"2,100",,"2,100",,0
Cumberland Gap NHP,,,,,"437,827","415,846",,,"-21,981","437,827",,"415,846",,"-21,981"
Death Valley NP,,,,,"3,466","4,948",,,"1,482","3,466",,"4,948",,"1,482"
Delaware Water Gap NRA,,,,,"4,500","4,500",,,0,"4,500",,"4,500",,0
Denali NP & PRES,,,,,"14,384","14,384",,,0,"14,384",,"14,384",,0
Devils Tower NM,,,,,48,102,,,54,48,,102,,54
Dinosaur NM,,,,,61,61,,,0,61,,61,,0
Dry Tortugas NP,,,,,126,72,,,-54,126,,72,,-54
Effigy Mounds NM,,,,,100,100,,,0,100,,100,,0
Eisenhower NHS,,,,,0,31,,,31,0,,31,,31
El Malpais NM,,,,,60,60,,,0,60,,60,,0
El Morro NM,,,,,423,552,,,129,423,,552,,129
Emmett Till and Mamie Till-Mobley NM,,,,,380,380,,,0,380,,380,,0
Everglades NP,,,,,600,600,,,0,600,,600,,0
Federal Hall NMEM,,,,,160,32,,,-128,160,,32,,-128
Fire Island NS,,,,,"18,666","22,821",,,"4,155","18,666",,"22,821",,"4,155"
First State NHP,,,,,7,7,,,0,7,,7,,0
Fort Davis NHS,,,,,16,15,,,-1,16,,15,,-1
Fort Donelson NB,,,,,"31,830","31,994",,,164,"31,830",,"31,994",,164
Fort Frederica NM,,,,,150,150,,,0,150,,150,,0
Fort McHenry NM & HS,,,,,60,60,,,0,60,,60,,0
Fort Necessity NB,,,,,10,10,,,0,10,,10,,0
Fort Pulaski NM,,,,,"3,864","2,967",,,-897,"3,864",,"2,967",,-897
Fort Raleigh NHS,,,,,112,112,,,0,112,,112,,0
Fort Scott NHS,,,,,15,8,,,-7,15,,8,,-7
Fort Sumter and Fort Moultrie NHP,,,,,"28,289",0,,,"-28,289","28,289",,0,,"-28,289"
Fort Union NM,,,,,20,20,,,0,20,,20,,0
Fort Union Trading Post NHS,,,,,4,26,,,22,4,,26,,22
Fort Vancouver NHS,,,,,75,75,,,0,75,,75,,0
Fossil Butte NM,,,,,6,12,,,6,6,,12,,6
Fredericksburg & Spotsylvania NMP,,,,,"96,482","136,026",,,"39,544","96,482",,"136,026",,"39,544"
Gateway NRA,,,,,"87,669","86,442",,,"-1,227","87,669",,"86,442",,"-1,227"
General Grant NMEM,,,,,2,0,,,-2,2,,0,,-2
George Washington Birthplace NM,,,,,600,600,,,0,600,,600,,0
George Washington MEM PKWY,,,,,"2,617,082","2,535,763",,,"-81,319","2,617,082",,"2,535,763",,"-81,319"
Gettysburg NMP,,,,,"6,200","6,200",,,0,"6,200",,"6,200",,0
Glacier NP,,,,,8,1,,,-7,8,,1,,-7
Glen Canyon NRA,,,,,"1,084","1,629",,,545,"1,084",,"1,629",,545
Golden Spike NHP,,,,,"1,000","1,000",,,0,"1,000",,"1,000",,0
Grand Canyon NP,,,,,"1,845","3,174",,,"1,329","1,845",,"3,174",,"1,329"
Grand Teton NP,,,,,"123,351","104,150",,,"-19,201","123,351",,"104,150",,"-19,201"
Great Basin NP,,,,,100,350,,,250,100,,350,,250
Great Sand Dunes NP & PRES,,,,,35,35,,,0,35,,35,,0
Great Smoky Mountains NP,,,,,"686,000","686,000",,,0,"686,000",,"686,000",,0
Guadalupe Mountains NP,,,,,120,120,,,0,120,,120,,0
Guilford Courthouse NMP,,,,,"141,770","139,360",,,"-2,410","141,770",,"139,360",,"-2,410"
Gulf Islands NS,,,,,"20,789","12,665",,,"-8,124","20,789",,"12,665",,"-8,124"
Haleakala NP,,,,,"1,680","1,680",,,0,"1,680",,"1,680",,0
Hamilton Grange NMEM,,,,,8,1,,,-7,8,,1,,-7
Hampton NHS,,,,,50,50,,,0,50,,50,,0
Hawaii Volcanoes NP,,,,,"146,431","148,928",,,"2,497","146,431",,"148,928",,"2,497"
Herbert Hoover NHS,,,,,20,20,,,0,20,,20,,0
Homestead NHP,,,,,"23,378","23,890",,,512,"23,378",,"23,890",,512
Hopewell Furnace NHS,,,,,50,50,,,0,50,,50,,0
Hot Springs NP,,,,,"12,351","12,373",,,22,"12,351",,"12,373",,22
Hovenweep NM,,,,,25,25,,,0,25,,25,,0
Hubbell Trading Post NHS,,,,,382,382,,,0,382,,382,,0
Indiana Dunes NP,,,,,335,335,,,0,335,,335,,0
Isle Royale NP,,,,,7,0,,,-7,7,,0,,-7
Jean Lafitte NHP & PRES,,,,,"15,000","15,000",,,0,"15,000",,"15,000",,0
"John D. Rockefeller, Jr. MEM PKWY",,,,,100,100,,,0,100,,100,,0
John Day Fossil Beds NM,,,,,70,70,,,0,70,,70,,0
John Muir NHS,,,,,109,0,,,-109,109,,0,,-109
Joshua Tree NP,,,,,878,973,,,95,878,,973,,95
Kennesaw Mountain NBP,,,,,"2,999,627","3,004,002",,,"4,375","2,999,627",,"3,004,002",,"4,375"
Keweenaw NHP,,,,,85,15,,,-70,85,,15,,-70
Kings Canyon NP,,,,,903,784,,,-119,903,,784,,-119
Kings Mountain NMP,,,,,"9,925","12,737",,,"2,812","9,925",,"12,737",,"2,812"
Knife River Indian Villages NHS,,,,,25,22,,,-3,25,,22,,-3
Kobuk Valley NP,,,,,700,690,,,-10,700,,690,,-10
Lake Mead NRA,,,,,"14,839","13,578",,,"-1,261","14,839",,"13,578",,"-1,261"
Lake Roosevelt NRA,,,,,100,100,,,0,100,,100,,0
Lava Beds NM,,,,,65,65,,,0,65,,65,,0
Lewis & Clark NHP,,,,,3,2,,,-1,3,,2,,-1
Lincoln Boyhood NMEM,,,,,"1,350","1,350",,,0,"1,350",,"1,350",,0
Little Bighorn Battlefield NM,,,,,5,3,,,-2,5,,3,,-2
Lowell NHP,,,,,25,3,,,-22,25,,3,,-22
Mammoth Cave NP,,,,,"7,535","8,036",,,501,"7,535",,"8,036",,501
Manassas NBP,,,,,40,40,,,0,40,,40,,0
Mesa Verde NP,,,,,188,158,,,-30,188,,158,,-30
Monocacy NB,,,,,10,10,,,0,10,,10,,0
Mount Rushmore NMEM,,,,,"6,116","6,405",,,289,"6,116",,"6,405",,289
Natchez Trace PKWY,,,,,"701,251","742,739",,,"41,488","701,251",,"742,739",,"41,488"
National Capital Parks East,,,,,"2,543,464","2,531,141",,,"-12,323","2,543,464",,"2,531,141",,"-12,323"
Natural Bridges NM,,,,,60,0,,,-60,60,,0,,-60
Navajo NM,,,,,78,-110,,,-188,78,,-110,,-188
New River Gorge NP & PRES,,,,,200,"1,625",,,"1,425",200,,"1,625",,"1,425"
Nez Perce NHP,,,,,150,150,,,0,150,,150,,0
Noatak NPRES,,,,,600,550,,,-50,600,,550,,-50
Obed W&SR,,,,,900,900,,,0,900,,900,,0
Olympic NP,,,,,"63,455","63,457",,,2,"63,455",,"63,457",,2
Oregon Caves NM & PRES,,,,,40,40,,,0,40,,40,,0
Organ Pipe Cactus NM,,,,,"32,852","13,241",,,"-19,611","32,852",,"13,241",,"-19,611"
Padre Island NS,,,,,150,150,,,0,150,,150,,0
Petersburg NB,,,,,"28,250","15,597",,,"-12,653","28,250",,"15,597",,"-12,653"
Petrified Forest NP,,,,,10,10,,,0,10,,10,,0
Pictured Rocks NL,,,,,50,50,,,0,50,,50,,0
