Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Abraham Lincoln Birthplace NHP,,,,,"8,420","5,371",,,"-3,049","8,420",,"5,371",,"-3,049",
Acadia NP,,,,,"102,548","87,009",,,"-15,539","102,548",,"87,009",,"-15,539",
Adams NHP,,,,,196,195,,,-1,196,,195,,-1,
African Burial Ground NM,,,,,"1,292","1,158",,,-134,"1,292",,"1,158",,-134,
Agate Fossil Beds NM,,,,,184,160,,,-24,184,,160,,-24,
Alibates Flint Quarries NM,,,,,710,775,,,65,710,,775,,65,
Allegheny Portage Railroad NHS,,,,,"8,316","7,429",,,-887,"8,316",,"7,429",,-887,
Amache NHS,,,,,0,261,,,261,0,,261,,261,
Amistad NRA,,,,,"359,726","353,321",,,"-6,405","359,726",,"353,321",,"-6,405",
Andersonville NHS,,,,,"6,175","5,878",,,-297,"6,175",,"5,878",,-297,
Andrew Johnson NHS,,,,,846,915,,,69,846,,915,,69,
Antietam NB,,,,,"5,183","4,455",,,-728,"5,183",,"4,455",,-728,
Apostle Islands NL,,,,,"3,497","4,783",,,"1,286","3,497",,"4,783",,"1,286",
Appomattox Court House NHP,,,,,"2,434","1,889",,,-545,"2,434",,"1,889",,-545,
Arches NP,,,,,"182,778","205,878",,,"23,100","182,778",,"205,878",,"23,100",
Arkansas Post NMEM,,,,,"1,736","2,715",,,979,"1,736",,"2,715",,979,
Arlington House The R.E. Lee MEM,,,,,"5,597","5,500",,,-97,"5,597",,"5,500",,-97,
Assateague Island NS,,,,,"404,736","363,428",,,"-41,308","404,736",,"363,428",,"-41,308",
Aztec Ruins NM,,,,,"1,292","1,935",,,643,"1,292",,"1,935",,643,
Badlands NP,,,,,"33,400","39,021",,,"5,621","33,400",,"39,021",,"5,621",
Bandelier NM,,,,,"13,635","26,648",,,"13,013","13,635",,"26,648",,"13,013",
Belmont-Paul Women's Equality NM,,,,,370,120,,,-250,370,,120,,-250,
Bent's Old Fort NHS,,,,,287,49,,,-238,287,,49,,-238,
Bering Land Bridge NPRES,,,,,"3,540","3,540",,,0,"3,540",,"3,540",,0,
Big Bend NP,,,,,"949,710","1,072,288",,,"122,578","949,710",,"1,072,288",,"122,578",
Big Cypress NPRES,,,,,"618,101","795,064",,,"176,963","618,101",,"795,064",,"176,963",
Big Hole NB,,,,,145,267,,,122,145,,267,,122,
Big South Fork NRRA,,,,,"218,368","212,942",,,"-5,426","218,368",,"212,942",,"-5,426",
Big Thicket NPRES,,,,,"45,804","41,687",,,"-4,117","45,804",,"41,687",,"-4,117",
Bighorn Canyon NRA,,,,,"16,138","15,589",,,-549,"16,138",,"15,589",,-549,
Biscayne NP,,,,,"100,743","101,567",,,824,"100,743",,"101,567",,824,
Black Canyon of the Gunnison NP,,,,,"15,046","17,566",,,"2,520","15,046",,"17,566",,"2,520",
Blue Ridge PKWY,,,,,"2,930,842","2,687,175",,,"-243,667","2,930,842",,"2,687,175",,"-243,667",
Bluestone NSR,,,,,454,454,,,0,454,,454,,0,
Booker T. Washington NM,,,,,834,757,,,-77,834,,757,,-77,
Boston African American NHS,,,,,"3,086","2,484",,,-602,"3,086",,"2,484",,-602,
Boston NHP,,,,,"23,601","31,158",,,"7,557","23,601",,"31,158",,"7,557",
Brown v. Board of Education NHP,,,,,"1,342","1,942",,,600,"1,342",,"1,942",,600,
Bryce Canyon NP,,,,,"104,562","129,314",,,"24,752","104,562",,"129,314",,"24,752",
Buck Island Reef NM,,,,,"29,256","26,735",,,"-2,521","29,256",,"26,735",,"-2,521",
Buffalo NR,,,,,"94,664","105,854",,,"11,190","94,664",,"105,854",,"11,190",
Cabrillo NM,,,,,"103,854","113,596",,,"9,742","103,854",,"113,596",,"9,742",
Camp Nelson NM,,,,,384,656,,,272,384,,656,,272,
Canaveral NS,,,,,"315,123","363,928",,,"48,805","315,123",,"363,928",,"48,805",
Cane River Creole NHP,,,,,401,"1,680",,,"1,279",401,,"1,680",,"1,279",
Canyon de Chelly NM,,,,,"73,106","164,376",,,"91,270","73,106",,"164,376",,"91,270",
Canyonlands NP,,,,,"36,364","52,118",,,"15,754","36,364",,"52,118",,"15,754",
Cape Cod NS,,,,,"177,886","200,539",,,"22,653","177,886",,"200,539",,"22,653",
Cape Hatteras NS,,,,,"246,350","225,706",,,"-20,644","246,350",,"225,706",,"-20,644",
Cape Krusenstern NM,,,,,"9,722","9,377",,,-345,"9,722",,"9,377",,-345,
Cape Lookout NS,,,,,"27,858","27,283",,,-575,"27,858",,"27,283",,-575,
