Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Abraham Lincoln Birthplace NHP,,,,,"8,420","5,371",,,"-3,049","8,420",,"5,371",,"-3,049",
Acadia NP,,,,,"15,538","13,183",,,"-2,355","15,538",,"13,183",,"-2,355",
Adams NHP,,,,,391,389,,,-2,391,,389,,-2,
African Burial Ground NM,,,,,"2,144","1,652",,,-492,"2,144",,"1,652",,-492,
Agate Fossil Beds NM,,,,,69,107,,,38,69,,107,,38,
Alibates Flint Quarries NM,,,,,284,310,,,26,284,,310,,26,
Allegheny Portage Railroad NHS,,,,,"4,851","4,296",,,-555,"4,851",,"4,296",,-555,
Amache NHS,,,,,0,261,,,261,0,,261,,261,
Amistad NRA,,,,,"47,884","45,622",,,"-2,262","47,884",,"45,622",,"-2,262",
Andersonville NHS,,,,,"3,088","2,939",,,-149,"3,088",,"2,939",,-149,
Andrew Johnson NHS,,,,,"2,124","2,145",,,21,"2,124",,"2,145",,21,
Antietam NB,,,,,"2,591","2,227",,,-364,"2,591",,"2,227",,-364,
Apostle Islands NL,,,,,"2,748","3,300",,,552,"2,748",,"3,300",,552,
Appomattox Court House NHP,,,,,"1,676","1,300",,,-376,"1,676",,"1,300",,-376,
Arches NP,,,,,"28,088","31,870",,,"3,782","28,088",,"31,870",,"3,782",
Arkansas Post NMEM,,,,,"1,157","1,810",,,653,"1,157",,"1,810",,653,
Arlington House The R.E. Lee MEM,,,,,"11,195","11,000",,,-195,"11,195",,"11,000",,-195,
Assateague Island NS,,,,,"49,431","44,822",,,"-4,609","49,431",,"44,822",,"-4,609",
Aztec Ruins NM,,,,,861,"1,290",,,429,861,,"1,290",,429,
Badlands NP,,,,,"8,549","9,962",,,"1,413","8,549",,"9,962",,"1,413",
Bandelier NM,,,,,"3,804","8,022",,,"4,218","3,804",,"8,022",,"4,218",
Belmont-Paul Women's Equality NM,,,,,370,120,,,-250,370,,120,,-250,
Bent's Old Fort NHS,,,,,164,28,,,-136,164,,28,,-136,
Bering Land Bridge NPRES,,,,,260,260,,,0,260,,260,,0,
Big Bend NP,,,,,"40,498","49,001",,,"8,503","40,498",,"49,001",,"8,503",
Big Cypress NPRES,,,,,"254,458","447,598",,,"193,140","254,458",,"447,598",,"193,140",
Big Hole NB,,,,,145,267,,,122,145,,267,,122,
Big South Fork NRRA,,,,,"35,174","33,465",,,"-1,709","35,174",,"33,465",,"-1,709",
Big Thicket NPRES,,,,,"17,996","16,523",,,"-1,473","17,996",,"16,523",,"-1,473",
Bighorn Canyon NRA,,,,,"5,133","5,017",,,-116,"5,133",,"5,017",,-116,
Biscayne NP,,,,,"31,701","32,016",,,315,"31,701",,"32,016",,315,
Black Canyon of the Gunnison NP,,,,,"6,951","9,005",,,"2,054","6,951",,"9,005",,"2,054",
Blue Ridge PKWY,,,,,"488,474","447,862",,,"-40,612","488,474",,"447,862",,"-40,612",
Bluestone NSR,,,,,182,182,,,0,182,,182,,0,
Booker T. Washington NM,,,,,834,757,,,-77,834,,757,,-77,
Boston African American NHS,,,,,"1,543","1,242",,,-301,"1,543",,"1,242",,-301,
Boston NHP,,,,,"45,825","64,724",,,"18,899","45,825",,"64,724",,"18,899",
Brown v. Board of Education NHP,,,,,671,971,,,300,671,,971,,300,
Bryce Canyon NP,,,,,"32,464","39,682",,,"7,218","32,464",,"39,682",,"7,218",
Buck Island Reef NM,,,,,"5,258","4,741",,,-517,"5,258",,"4,741",,-517,
Buffalo NR,,,,,"24,501","23,284",,,"-1,217","24,501",,"23,284",,"-1,217",
Cabrillo NM,,,,,"69,337","75,772",,,"6,435","69,337",,"75,772",,"6,435",
Camp Nelson NM,,,,,512,875,,,363,512,,875,,363,
Canaveral NS,,,,,"123,332","142,552",,,"19,220","123,332",,"142,552",,"19,220",
Cane River Creole NHP,,,,,200,840,,,640,200,,840,,640,
Canyon de Chelly NM,,,,,"11,034","25,442",,,"14,408","11,034",,"25,442",,"14,408",
Canyonlands NP,,,,,"6,055","10,730",,,"4,675","6,055",,"10,730",,"4,675",
Cape Cod NS,,,,,"106,090","115,743",,,"9,653","106,090",,"115,743",,"9,653",
Cape Hatteras NS,,,,,"77,193","71,908",,,"-5,285","77,193",,"71,908",,"-5,285",
Cape Krusenstern NM,,,,,852,877,,,25,852,,877,,25,
Cape Lookout NS,,,,,"19,807","19,834",,,27,"19,807",,"19,834",,27,
