Park,,,,,JAN 2024,JAN 2025,,,DIFF,YTD 2024,,YTD 2025,,DIFF,
Amistad NRA,,,,,848,"1,630",,,782,848,,"1,630",,782,
Arches NP,,,,,482,485,,,3,482,,485,,3,
Assateague Island NS,,,,,339,186,,,-153,339,,186,,-153,
Badlands NP,,,,,0,2,,,2,0,,2,,2,
Bandelier NM,,,,,118,129,,,11,118,,129,,11,
Big Bend NP,,,,,"4,364","4,402",,,38,"4,364",,"4,402",,38,
Big Cypress NPRES,,,,,"8,396","1,111",,,"-7,285","8,396",,"1,111",,"-7,285",
Big South Fork NRRA,,,,,144,133,,,-11,144,,133,,-11,
Black Canyon of the Gunnison NP,,,,,47,19,,,-28,47,,19,,-28,
Bryce Canyon NP,,,,,175,382,,,207,175,,382,,207,
Buffalo NR,,,,,70,363,,,293,70,,363,,293,
Canyonlands NP,,,,,156,204,,,48,156,,204,,48,
Cape Hatteras NS,,,,,671,481,,,-190,671,,481,,-190,
Capitol Reef NP,,,,,83,164,,,81,83,,164,,81,
Chaco Culture NHP,,,,,30,97,,,67,30,,97,,67,
Chesapeake & Ohio Canal NHP,,,,,1,4,,,3,1,,4,,3,
Chickasaw NRA,,,,,338,269,,,-69,338,,269,,-69,
Chiricahua NM,,,,,769,816,,,47,769,,816,,47,
Colorado NM,,,,,89,31,,,-58,89,,31,,-58,
Cumberland Gap NHP,,,,,80,62,,,-18,80,,62,,-18,
Curecanti NRA,,,,,0,16,,,16,0,,16,,16,
Death Valley NP,,,,,"11,187","11,603",,,416,"11,187",,"11,603",,416,
Dinosaur NM,,,,,14,5,,,-9,14,,5,,-9,
El Morro NM,,,,,21,26,,,5,21,,26,,5,
Gauley River NRA,,,,,43,43,,,0,43,,43,,0,
Glacier NP,,,,,66,0,,,-66,66,,0,,-66,
Glen Canyon NRA,,,,,0,342,,,342,0,,342,,342,
Grand Canyon NP,,,,,675,329,,,-346,675,,329,,-346,
Grand Teton NP,,,,,0,29,,,29,0,,29,,29,
Great Basin NP,,,,,42,60,,,18,42,,60,,18,
Great Smoky Mountains NP,,,,,268,373,,,105,268,,373,,105,
Greenbelt Park,,,,,127,206,,,79,127,,206,,79,
Guadalupe Mountains NP,,,,,488,602,,,114,488,,602,,114,
Gulf Islands NS,,,,,"9,125","9,162",,,37,"9,125",,"9,162",,37,
Hawaii Volcanoes NP,,,,,6,0,,,-6,6,,0,,-6,
Hot Springs NP,,,,,"2,130","2,981",,,851,"2,130",,"2,981",,851,
Hovenweep NM,,,,,7,21,,,14,7,,21,,14,
Joshua Tree NP,,,,,"13,464","12,873",,,-591,"13,464",,"12,873",,-591,
Kings Canyon NP,,,,,32,226,,,194,32,,226,,194,
Lake Mead NRA,,,,,"4,414","5,380",,,966,"4,414",,"5,380",,966,
Lake Meredith NRA,,,,,977,"1,300",,,323,977,,"1,300",,323,
Lake Roosevelt NRA,,,,,55,85,,,30,55,,85,,30,
Lassen Volcanic NP,,,,,27,45,,,18,27,,45,,18,
Lava Beds NM,,,,,45,40,,,-5,45,,40,,-5,
Mojave NPRES,,,,,110,715,,,605,110,,715,,605,
Natchez Trace PKWY,,,,,573,546,,,-27,573,,546,,-27,
Natural Bridges NM,,,,,13,0,,,-13,13,,0,,-13,
Navajo NM,,,,,26,41,,,15,26,,41,,15,
New River Gorge NP & PRES,,,,,126,126,,,0,126,,126,,0,
Olympic NP,,,,,391,902,,,511,391,,902,,511,
Organ Pipe Cactus NM,,,,,"11,554","13,099",,,"1,545","11,554",,"13,099",,"1,545",
Ozark NSR,,,,,84,48,,,-36,84,,48,,-36,
Padre Island NS,,,,,"3,267","3,235",,,-32,"3,267",,"3,235",,-32,
Ross Lake NRA,,,,,0,4,,,4,0,,4,,4,
Sequoia NP,,,,,283,709,,,426,283,,709,,426,
Sleeping Bear Dunes NL,,,,,105,82,,,-23,105,,82,,-23,
Theodore Roosevelt NP,,,,,3,24,,,21,3,,24,,21,
Whiskeytown NRA,,,,,89,17,,,-72,89,,17,,-72,
Wind Cave NP,,,,,8,12,,,4,8,,12,,4,
Yellowstone NP,,,,,0,27,,,27,0,,27,,27,
Yosemite NP,,,,,"3,712","4,408",,,696,"3,712",,"4,408",,696,
Zion NP,,,,,"2,288","2,397",,,109,"2,288",,"2,397",,109,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
