Title2
Total Concessioner Camping for Mar 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Badlands NP,0,69,69,0,77,77, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Big Bend NP,377,473,96,"1,065","1,216",151, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Canyon de Chelly NM,968,"1,024",56,"1,239","1,527",288, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Death Valley NP,401,401,0,795,"1,097",302, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Everglades NP,0,"12,795","12,795",0,"91,487","91,487", Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Glen Canyon NRA,"1,113","1,141",28,"1,440","1,350",-90, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Grand Canyon NP,"8,303","6,983","-1,320","10,935","10,272",-663, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Hawaii Volcanoes NP,499,450,-49,"1,441","1,294",-147, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Lake Mead NRA,"18,922","16,980","-1,942","54,762","52,050","-2,712", Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Lake Roosevelt NRA,0,40,40,0,57,57, Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Pinnacles NP,"3,584","12,227","8,643","7,254","26,059","18,805", Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Prince William Forest Park,0,"2,554","2,554",0,"6,711","6,711", Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Virgin Islands NP,"2,662","2,597",-65,"8,368","5,188","-3,180", Total,"36,997","57,866","20,869","87,643","198,663","111,020"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Whiskeytown NRA,168,132,-36,344,278,-66, Total,"36,997","57,866","20,869","87,643","198,663","111,020"

Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32
Total for MAR 2024,"36,997",Total for YTD 2024,"87,643",Total for MAR 2025,"57,866",Total for YTD 2025,"198,663","20,869","111,020",56.41%,126.67%

