Title2
Total NonRecreation Overnight Stays for Mar 2025

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,,,,,,,, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Bering Land Bridge NPRES,51,51,0,218,218,0, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Cape Hatteras NS,0,0,0,0,4,4, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Cape Krusenstern NM,325,320,-5,725,700,-25, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Channel Islands NP,450,450,0,"1,480","1,480",0, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Dry Tortugas NP,156,144,-12,459,366,-93, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Glacier Bay NP & PRES,40,40,0,220,220,0, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Isle Royale NP,0,0,0,91,0,-91, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Kobuk Valley NP,400,390,-10,"1,300","1,257",-43, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Noatak NPRES,400,385,-15,"1,050","1,000",-50, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Organ Pipe Cactus NM,42,0,-42,91,35,-56, Total,"2,385","1,780",-605,"6,663","5,280","-1,383"
MAR 2024,MAR 2025,YTD 2024,YTD 2025,,Virgin Islands NP,521,0,-521,"1,029",0,"-1,029", Total,"2,385","1,780",-605,"6,663","5,280","-1,383"

Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28,Field29,Field30,Field31,Field32
Total for MAR 2024,"2,385",Total for YTD 2024,"6,663",Total for MAR 2025,"1,780",Total for YTD 2025,"5,280",-605,"-1,383",-25.37%,-20.76%

