ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Acadia NP,ACAD,National Park,Northeast,ME,1979,January,6011,15252,37446,15252,,,102,13,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,February,5243,13776,17661,13776,,,53,8,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,March,11165,15252,36051,15252,,,176,37,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,April,219351,37657,1334058,37657,,,1037,459,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,May,339416,50616,2088588,50616,,,3193,1148,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,June,543205,70776,3661992,70776,,,23821,9819,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,July,383341,41071,2300046,41071,,,42182,23243,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,August,466928,50028,2801568,50028,,,45347,23665,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,September,320138,34300,1920828,34300,,,22762,15276,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,October,300976,32246,1805856,32246,,,676,422,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,November,183750,19687,1102500,19687,,,215,176,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1979,December,7842,15252,48936,15252,,,144,13,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,January,8966,15252,39428,15252,,,15,2,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,February,8225,15252,29531,15252,,,9,5,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,March,7505,15252,47994,15252,,,50,11,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,April,182879,34578,1121238,34578,,,1496,655,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,May,209301,37010,1362666,37010,,,6300,1775,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,June,359552,50842,2573676,50842,,,26456,8241,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,July,533885,68124,4007238,68124,,,41259,26157,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,August,633067,77848,3866797,77848,,,45912,23043,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,September,282636,45714,2173644,45714,,,27142,12677,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,October,332937,51152,2113926,51152,,,6240,3452,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,November,200461,37803,1212078,37803,,,670,106,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1980,December,20252,44602,123372,44602,,,155,0,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,January,23330,78915,141636,78915,,,98,40,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,February,16207,68606,99654,68606,,,127,74,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,March,21923,92285,139200,92285,,,512,126,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,April,188071,35173,1115586,35173,,,1660,418,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,May,212500,23258,1439604,23258,,,8754,1603,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,June,366518,15252,2627976,15252,,,27320,8519,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,July,545981,15252,4095802,15252,,,41874,26452,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,August,616233,15252,4523203,15252,,,46370,22447,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,September,463823,15252,3338926,15252,,,33346,12653,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,October,313788,15252,1996900,15252,,,5799,3715,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,November,203741,15252,1229827,15252,,,426,188,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1981,December,25857,15252,159282,15252,,,271,74,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,January,21425,15252,129342,15252,,,57,9,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,February,22210,15252,139260,15252,,,414,86,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,March,36866,15252,225864,15252,,,701,188,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,April,193208,15252,1186488,15252,,,1783,487,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,May,261452,15252,1705689,15252,,,9411,2004,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,June,404915,15252,2805202,15252,,,22498,8811,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,July,737860,15275,5244016,15275,,,46534,21537,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,August,574164,15252,4287750,15252,,,49647,21344,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,September,541721,15252,3904737,15252,,,30737,24097,0,,
Acadia NP,ACAD,National Park,Northeast,ME,1982,October,446170,15252,2863836,15252,,,9624,5944,0,,
