Park,Unit Code,Park Type,Region,State,Year,Recreation Visits,Non-Recreation Visits,"ConcessionerLodging","ConcessionerCamping",Tent Campers,RV Campers,Backcountry Campers,Non-Recreation Overnight Stays,Misc. Overnight Stays
Acadia NP,ACAD,National Park,Northeast ,ME,1979,"2,787,366","395,913",0,0,"139,708","74,279",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1980,"2,779,666","493,429",0,0,"155,704","76,124",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1981,"2,997,972","405,001",0,0,"166,557","76,309",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1982,"3,572,114","183,047",0,0,"172,759","84,841",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1983,"4,124,639","183,024",0,0,"164,429","72,335",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1984,"3,734,763","183,034",0,0,"158,697","32,192",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1985,"3,745,570","183,024",0,0,"152,585","54,941",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1986,"3,929,054","183,024",0,0,"156,438","49,311",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1987,"4,288,154","188,280",0,0,"158,649","52,952",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1988,"4,502,283","188,676",0,0,"175,545","45,661",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1989,"5,440,952","188,676",0,0,"173,909","46,089",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1991,"2,475,857","252,576",0,0,"140,760","30,222",0,0,"9,581"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1993,"2,656,034","252,576",0,0,"130,287","32,094",0,0,"10,518"
Acadia NP,ACAD,National Park,Northeast ,ME,1994,"2,710,749","252,576",0,0,"129,483","29,025",0,0,"10,511"
Acadia NP,ACAD,National Park,Northeast ,ME,1995,"2,845,378","252,576",0,0,"129,351","29,616",0,0,"10,476"
Acadia NP,ACAD,National Park,Northeast ,ME,1996,"2,704,831","252,576",0,0,"108,939","35,526",0,0,"9,512"
Acadia NP,ACAD,National Park,Northeast ,ME,1997,"2,760,306","252,576",0,0,"115,935","28,512",0,0,"10,286"
Acadia NP,ACAD,National Park,Northeast ,ME,1998,"2,594,497","252,576",0,0,"135,507","23,544",0,0,"11,111"
Acadia NP,ACAD,National Park,Northeast ,ME,1999,"2,602,227","252,576",0,0,"125,046","23,682",0,0,"10,218"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2002,"2,558,572","252,576",0,0,"122,340","22,545",0,0,"11,262"
Acadia NP,ACAD,National Park,Northeast ,ME,2003,"2,431,062","34,500",0,0,"117,369","21,876",0,0,"9,693"
Acadia NP,ACAD,National Park,Northeast ,ME,2004,"2,207,847","34,500",0,0,"101,577","19,878",0,0,"8,618"
Acadia NP,ACAD,National Park,Northeast ,ME,2005,"2,051,484","47,100",0,0,"85,815","19,302","1,157",0,"5,378"
Acadia NP,ACAD,National Park,Northeast ,ME,2006,"2,083,588","47,100",0,0,"96,252","22,299","1,306",0,"7,300"
Acadia NP,ACAD,National Park,Northeast ,ME,2007,"2,202,228","47,100",0,0,"98,586","23,280","1,091",0,"7,352"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2009,"2,227,698","47,100",0,0,"105,042","22,755","1,037",0,"7,212"
Acadia NP,ACAD,National Park,Northeast ,ME,2010,"2,504,208","47,100",0,0,"121,287","28,821",974,0,"8,549"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2012,"2,431,052","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,ACAD,National Park,Northeast ,ME,2013,"2,254,922","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,ACAD,National Park,Northeast ,ME,2014,"2,563,129","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,ACAD,National Park,Northeast ,ME,2015,"2,811,184","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,ACAD,National Park,Northeast ,ME,2016,"3,303,393","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
Acadia NP,ACAD,National Park,Northeast ,ME,2017,"3,509,271","47,100",0,"1,657","152,586","55,812","1,597",0,"10,889"
Acadia NP,ACAD,National Park,Northeast ,ME,2018,"3,537,575","47,100",0,"1,364","144,744","58,215","1,472",0,"11,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2019,"3,437,286","47,100",0,"1,090","140,985","57,696","1,284",0,"11,674"
Acadia NP,ACAD,National Park,Northeast ,ME,2020,"2,669,034","47,100",0,307,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2022,"3,970,260","47,100",0,"1,884","136,183","49,647","1,472",0,"9,490"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2024,"3,961,661","47,100",0,"1,667","142,739","52,950","1,175",0,"10,208"
Arches NP,ARCH,National Park,Intermountain ,UT,1979,"269,840",0,0,0,"18,772","17,605","2,332",0,"3,759"
Arches NP,ARCH,National Park,Intermountain ,UT,1980,"290,519",0,0,0,"20,590","15,855","1,886",0,"4,081"
Arches NP,ARCH,National Park,Intermountain ,UT,1981,"326,508",0,0,0,"24,951","14,210","2,236",0,"5,030"
Arches NP,ARCH,National Park,Intermountain ,UT,1982,"339,415",0,0,0,"21,660","14,591","2,542",0,"5,081"
Arches NP,ARCH,National Park,Intermountain ,UT,1983,"287,875",0,0,0,"17,652","13,245","1,695",0,"3,851"
Arches NP,ARCH,National Park,Intermountain ,UT,1984,"345,180",0,0,0,"17,171","11,959","1,425",0,"3,609"
Arches NP,ARCH,National Park,Intermountain ,UT,1985,"363,464",0,0,0,"22,258","14,049","1,596",0,"3,884"
Arches NP,ARCH,National Park,Intermountain ,UT,1986,"419,444",0,0,0,"24,227","16,438","1,906",0,"4,506"
Arches NP,ARCH,National Park,Intermountain ,UT,1987,"468,916",0,0,0,"24,469","17,627","2,137",0,"6,477"
Arches NP,ARCH,National Park,Intermountain ,UT,1988,"520,455",0,0,0,"25,046","19,751","1,818",0,"7,591"
Arches NP,ARCH,National Park,Intermountain ,UT,1989,"555,809",0,0,0,"27,072","15,017","2,297",0,"7,739"
Arches NP,ARCH,National Park,Intermountain ,UT,1990,"620,719",0,0,0,"31,632","16,870","2,228",0,"7,707"
Arches NP,ARCH,National Park,Intermountain ,UT,1991,"705,882",0,0,0,"29,698","17,871","2,850",0,"7,835"
Arches NP,ARCH,National Park,Intermountain ,UT,1992,"799,831",0,0,0,"32,777","15,893","3,033",0,"6,467"
Arches NP,ARCH,National Park,Intermountain ,UT,1993,"773,678",0,0,0,"30,028","12,002","2,289",0,"5,090"
Arches NP,ARCH,National Park,Intermountain ,UT,1994,"777,178",0,0,0,"28,835","13,039","1,267",0,"8,837"
