ParkName,SizeCategory,PeakSeason,PeakVisits,LowSeason,LowVisits,SeasonalVariation%
Great Smoky Mountains NP,Small,Summer,2256695.688405797,Winter,945888.0217391304,138.57958199497938
Yellowstone NP,Small,Summer,805225.9492753623,Winter,63007.23913043478,1177.989577687128
Grand Teton NP,Small,Summer,684395.8550724637,Winter,123414.44927536232,454.55083184420306
Rocky Mountain NP,Small,Summer,614628.2246376812,Winter,75365.35507246376,715.531518489784
Olympic NP,Small,Summer,590398.9347826088,Winter,139454.56521739133,323.3629310465774
Acadia NP,Small,Summer,579178.9710144928,Winter,28541.144927536236,1929.2772854241953
Grand Canyon NP,Small,Summer,578220.5072463768,Winter,161038.51449275363,259.0572783583367
Yosemite NP,Small,Summer,535863.4637681158,Winter,113672.47826086957,371.41002990921913
Glacier NP,Small,Summer,506344.52898550715,Winter,9951.521739130434,4988.111569856769
Gateway Arch NP,Small,Summer,456199.8333333333,Winter,74592.7536231884,511.58733412345293
Hot Springs NP,Small,Summer,395805.7971014493,Winter,254209.43478260867,55.700671550577596
Mount Rainier NP,Small,Summer,380283.0652173913,Winter,26424.456521739132,1339.1329672363793
Zion NP,Small,Summer,371696.2681159421,Winter,74072.14492753624,401.8030306528418
Indiana Dunes NP,Small,Summer,316511.9347826087,Winter,68259.16666666667,363.6914721333281
Denali NP & PRES,Small,Summer,268326.3550724638,Winter,12816.81884057971,1993.548784686788
Saguaro NP,Small,Spring,267347.97826086957,Summer,217420.4275362319,22.963596976791667
Cuyahoga Valley NP,Small,Summer,262445.7173913044,Winter,128696.57971014491,103.92594580399425
Hawaii Volcanoes NP,Small,Summer,255190.01449275363,Spring,221254.54347826086,15.337751026941989
Bryce Canyon NP,Small,Summer,246343.84782608695,Winter,33843.09420289855,627.8998969455588
Badlands NP,Small,Summer,233161.3695652174,Winter,12520.862318840582,1762.1830000827604
Mammoth Cave NP,Small,Summer,197853.63768115942,Winter,57241.413043478264,245.64771755525635
Shenandoah NP,Small,Summer,197251.9492753623,Winter,25244.91304347826,681.3532529727612
Joshua Tree NP,Small,Spring,176123.63043478262,Summer,74822.47826086957,135.38866197498197
New River Gorge NP & PRES,Small,Summer,169428.79674796748,Winter,24115.268292682926,602.5789416548839
Wind Cave NP,Small,Summer,166148.86956521738,Winter,30108.978260869568,451.82500092056887
Sequoia NP,Small,Summer,163555.14492753622,Winter,29978.40579710145,445.576526098496
Arches NP,Small,Summer,119064.71014492754,Winter,16430.768115942028,624.64482064843
Theodore Roosevelt NP,Small,Summer,114493.78985507246,Winter,3148.8985507246375,3535.994872833381
Kings Canyon NP,Small,Summer,113837.55072463768,Winter,20851.53623188406,445.9432315138911
Haleakala NP,Small,Summer,113427.05797101448,Winter,92237.42028985509,22.97292965758495
