ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Acadia NP,,,,,2025,January,13183.0,600.0,87009.0,600.0,,,,,,,
Arches NP,,,,,2025,January,31870.0,27.0,205878.0,218.0,,,252.0,485.0,,,
Badlands NP,,,,,2025,January,9962.0,2066.0,39021.0,1033.0,,5.0,1.0,2.0,6.0,,
Bering Land Bridge NPRES,,,,,2025,January,260.0,40.0,3540.0,3248.0,,,,,115.0,122.0,
Big Bend NP,,,,,2025,January,49001.0,225.0,1072288.0,675.0,2126.0,363.0,7366.0,4402.0,4563.0,,1358.0
Big Cypress NPRES,,,,,2025,January,447598.0,,795064.0,,,,249.0,1111.0,349.0,,10.0
Big Thicket NPRES,,,,,2025,January,16523.0,,41687.0,,,,,,22.0,,
Biscayne NP,,,,,2025,January,32016.0,,101567.0,,,,0.0,,,,230.0
Black Canyon of the Gunnison NP,,,,,2025,January,9005.0,,17566.0,,,,14.0,19.0,,,
Bryce Canyon NP,,,,,2025,January,39682.0,21000.0,129314.0,6300.0,,,43.0,382.0,3.0,,
Canyonlands NP,,,,,2025,January,10730.0,,52118.0,,,,103.0,204.0,168.0,,
Capitol Reef NP,,,,,2025,January,17002.0,7700.0,16785.0,7700.0,,,178.0,164.0,6.0,,
Carlsbad Caverns NP,,,,,2025,January,23733.0,,86868.0,,,,,,22.0,,
Channel Islands NP,,,,,2025,January,0.0,688.0,0.0,16512.0,,,,,0.0,688.0,896.0
Congaree NP,,,,,2025,January,15129.0,,58528.0,,,,348.0,,39.0,,270.0
Crater Lake NP,,,,,2025,January,4958.0,2100.0,18794.0,1050.0,,,,,72.0,,
Cuyahoga Valley NP,,,,,2025,January,128093.0,,398800.0,,70.0,,,,,,25.0
Death Valley NP,,,,,2025,January,123593.0,4948.0,990812.0,7422.0,3341.0,353.0,9334.0,11603.0,1934.0,,50.0
Denali NP & PRES,,,,,2025,January,2254.0,14384.0,24422.0,3596.0,,,,,80.0,,
Dry Tortugas NP,,,,,2025,January,7181.0,72.0,50285.0,864.0,,,284.0,,,72.0,242.0
Everglades NP,,,,,2025,January,89939.0,600.0,879358.0,2700.0,,15244.0,,,3789.0,,46.0
Gateway Arch NP,,,,,2025,January,55940.0,,123068.0,,,,,,,,
Glacier Bay NP & PRES,,,,,2025,January,285.0,,3948.0,,,,,,8.0,,115.0
Glacier NP,,,,,2025,January,17984.0,1.0,71971.0,4.0,,,0.0,0.0,2.0,,
Grand Canyon NP,,,,,2025,January,191862.0,3174.0,2941690.0,3174.0,25539.0,1741.0,784.0,329.0,7922.0,,126.0
