year,state,state_po,Winner,PreviousWinner,Flipped,FlipType,TotalVisits,VisitChangeFromPrevYear,VisitChangeToNextYear,VisitChange2YearsAfter
1980,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,656618,,28.68441011364294,184.54047863445717
1984,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,844965,28.68441011364294,121.114957424272,109.90123851283782
1988,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,1868344,121.114957424272,-5.071442946266854,-3.784153239446269
1992,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,1773592,-5.071442946266854,1.3560615970302077,9.96880906093397
1996,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,1797643,1.3560615970302077,8.497515913893917,6.7378784330370385
2000,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,1950398,8.497515913893917,-1.6218228279561404,1.1891931800586342
2004,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,1918766,-1.6218228279561404,2.8573572806689302,14.812749444174017
2008,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,1973592,2.8573572806689302,11.623273706014212,23.213257856740398
2012,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,2202988,11.623273706014212,10.383125100999187,-62.390444251171594
2016,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,2431727,10.383125100999187,-65.92816545607299,
2020,ALASKA,AK,REPUBLICAN,REPUBLICAN,False,No Flip,828534,-65.92816545607299,,
1980,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,3824217,,24.22854142429679,88.91896040418209
1984,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,4750769,24.22854142429679,52.07371690772589,65.48384061611921
1988,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,7224671,52.07371690772589,8.81817317356043,17.404142001760356
1992,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,7861755,8.81817317356043,7.890197544950205,12.194579963379677
1996,ARIZONA,AZ,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,8482063,7.890197544950205,3.989595455728164,4.3944851623950445
2000,ARIZONA,AZ,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,8820463,3.989595455728164,0.3893559782519353,-11.862223105521785
2004,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,8854806,0.3893559782519353,-12.204061839412406,-6.386859294263476
2008,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,7774160,-12.204061839412406,6.625821953754489,33.96058223653745
2012,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,8289262,6.625821953754489,25.63615434039846,-16.084833607623935
2016,ARIZONA,AZ,REPUBLICAN,REPUBLICAN,False,No Flip,10414310,25.63615434039846,-33.207788129986525,
2020,ARIZONA,AZ,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,6955948,-33.207788129986525,,
1980,ARKANSAS,AR,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,5269638,,2.7973458518402974,2.494763397409841
1984,ARKANSAS,AR,REPUBLICAN,REPUBLICAN,False,No Flip,5417048,2.7973458518402974,-0.29434850863422296,-35.853752818878476
1988,ARKANSAS,AR,REPUBLICAN,REPUBLICAN,False,No Flip,5401103,-0.29434850863422296,-35.6643818864406,-34.20682775351627
1992,ARKANSAS,AR,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,3474833,-35.6643818864406,2.265547725602928,-2.599088934633693
1996,ARKANSAS,AR,DEMOCRAT,DEMOCRAT,False,No Flip,3553557,2.265547725602928,-4.756867555522537,8.526048688680103
2000,ARKANSAS,AR,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,3384519,-4.756867555522537,13.946324426011495,1.1126544126358873
2004,ARKANSAS,AR,REPUBLICAN,REPUBLICAN,False,No Flip,3856535,13.946324426011495,-11.262908284249981,-7.566118290123129
2008,ARKANSAS,AR,REPUBLICAN,REPUBLICAN,False,No Flip,3422177,-11.262908284249981,4.166003102703337,13.876897659004781
2012,ARKANSAS,AR,REPUBLICAN,REPUBLICAN,False,No Flip,3564745,4.166003102703337,9.322518160485533,-58.021681775274246
2016,ARKANSAS,AR,REPUBLICAN,REPUBLICAN,False,No Flip,3897069,9.322518160485533,-61.6013983842729,
2020,ARKANSAS,AR,REPUBLICAN,REPUBLICAN,False,No Flip,1496420,-61.6013983842729,,
1980,CALIFORNIA,CA,REPUBLICAN,REPUBLICAN,False,No Flip,6694396,,11.724403516015485,29.94410548763473
1984,CALIFORNIA,CA,REPUBLICAN,REPUBLICAN,False,No Flip,7479274,11.724403516015485,16.307719171673615,19.782361229178125
1988,CALIFORNIA,CA,REPUBLICAN,REPUBLICAN,False,No Flip,8698973,16.307719171673615,2.987456105450609,7.3870444246694404
1992,CALIFORNIA,CA,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,8958851,2.987456105450609,4.271965233041604,-1.3962504789955765
1996,CALIFORNIA,CA,DEMOCRAT,DEMOCRAT,False,No Flip,9341570,4.271965233041604,-5.435992022754205,-9.522285868435391
2000,CALIFORNIA,CA,DEMOCRAT,DEMOCRAT,False,No Flip,8833763,-5.435992022754205,-4.321193584206413,-1.8164286273018644
2004,CALIFORNIA,CA,DEMOCRAT,DEMOCRAT,False,No Flip,8452039,-4.321193584206413,2.6178890087942093,11.011307449007274
2008,CALIFORNIA,CA,DEMOCRAT,DEMOCRAT,False,No Flip,8673304,2.6178890087942093,8.179293611753952,45.78058142548676
2012,CALIFORNIA,CA,DEMOCRAT,DEMOCRAT,False,No Flip,9382719,8.179293611753952,34.758304069428064,-14.685966829018327
2016,CALIFORNIA,CA,DEMOCRAT,DEMOCRAT,False,No Flip,12643993,34.758304069428064,-36.69107535886804,
2020,CALIFORNIA,CA,DEMOCRAT,DEMOCRAT,False,No Flip,8004776,-36.69107535886804,,
1980,COLORADO,CO,REPUBLICAN,REPUBLICAN,False,No Flip,3673745,,-8.009129648356106,9.392078111028392
1984,COLORADO,CO,REPUBLICAN,REPUBLICAN,False,No Flip,3379510,-8.009129648356106,18.916233418454155,27.767930853881182
1988,COLORADO,CO,REPUBLICAN,REPUBLICAN,False,No Flip,4018786,18.916233418454155,7.443640940323768,5.984518707888402
1992,COLORADO,CO,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,4317930,7.443640940323768,-1.3580349843559296,-0.3250863260868055
1996,COLORADO,CO,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,4259291,-1.3580349843559296,1.0471695876144644,-9.26287966706196
2000,COLORADO,CO,REPUBLICAN,REPUBLICAN,False,No Flip,4303893,1.0471695876144644,-10.203204401224658,-8.643988128887033
2004,COLORADO,CO,REPUBLICAN,REPUBLICAN,False,No Flip,3864758,-10.203204401224658,1.7363829766313958,8.275550500186558
2008,COLORADO,CO,DEMOCRAT,REPUBLICAN,True,REPUBLICAN->DEMOCRAT,3931865,1.7363829766313958,6.427560457950617,46.33806094563267
2012,COLORADO,CO,DEMOCRAT,DEMOCRAT,False,No Flip,4184588,6.427560457950617,37.50015533189887,5.448063226296114
2016,COLORADO,CO,DEMOCRAT,DEMOCRAT,False,No Flip,5753815,37.50015533189887,-23.310586106783067,
2020,COLORADO,CO,DEMOCRAT,DEMOCRAT,False,No Flip,4412567,-23.310586106783067,,
1980,FLORIDA,FL,REPUBLICAN,DEMOCRAT,True,DEMOCRAT->REPUBLICAN,1068742,,-7.325715654479753,52.4926502373819
1984,FLORIDA,FL,REPUBLICAN,REPUBLICAN,False,No Flip,990449,-7.325715654479753,64.54688732080098,41.96864250456106
1988,FLORIDA,FL,REPUBLICAN,REPUBLICAN,False,No Flip,1629753,64.54688732080098,-13.721465768125599,-15.938488838492704
