Park,Data Points,Test Points,R² Train,R² Test,MAE,Anomalies,Anomaly %
Zion NP,560,112,0.1583676227758707,-0.2986274031480871,173931.5943415076,3,2.6785714285714284
Rocky Mountain NP,560,112,0.007728183247897924,-0.10115303851833546,235107.75902572207,1,0.8928571428571429
Acadia NP,560,112,0.027532041677809316,-0.29248965578701336,271748.05393309455,1,0.8928571428571429
Great Smoky Mountains NP,560,112,0.0068245399549656804,-0.2495956419065517,379484.2546516513,0,0.0
Grand Canyon NP,560,112,0.11186119584658649,-0.07755223426943969,144934.58606181812,0,0.0
Yosemite NP,560,112,0.03102480280710096,-0.016561600883613137,170457.2519878922,0,0.0
Yellowstone NP,560,112,0.012480298784465438,-0.027447276389127584,334823.44958794926,0,0.0
Olympic NP,560,112,0.008532407195422143,-0.017739010312811665,176491.15965162698,0,0.0
Grand Teton NP,560,112,0.013867123761590605,-0.03523491335979201,240886.8790353728,0,0.0
Gateway Arch NP,560,112,1.54582265937675e-05,-0.28920140654407844,114855.97602911157,0,0.0
