Park,Data Points,Test Points,R² Train,R² Test,MAE,Anomalies,Anomaly %
Kings Canyon NP,121,25,0.8431763620182327,-53.00882298464512,666763.8681837448,21,84.0
Mammoth Cave NP,89,18,0.8373976049023727,-372.0236835000617,2086432.660964341,18,100.0
Olympic NP,90,18,0.9522563960360673,-15.475803686964227,1560441.8694620612,15,83.33333333333333
Carlsbad Caverns NP,101,21,0.6315381945050931,-69.71356368491007,521999.3762422312,14,66.66666666666667
Gateway Arch NP,84,17,0.7319073161154037,-16.798016624191106,2544273.12418893,11,64.70588235294117
Joshua Tree NP,84,17,0.9484518916477266,-0.5307197285460614,752778.6308839256,10,58.8235294117647
Arches NP,96,20,0.8301070655481715,-1.393370822905645,400601.9151165161,10,50.0
Haleakala NP,65,13,0.777229062643948,-18.047736622191376,1042548.6143960184,9,69.23076923076923
Virgin Islands NP,68,14,0.685876438865093,-26.24937804987988,1037318.0585781256,9,64.28571428571429
Mesa Verde NP,117,24,0.8481049855581838,-23.37048016056813,368543.4456460502,9,37.5
Zion NP,106,22,0.8633752431995946,-0.5718495973597015,906096.3551404754,8,36.36363636363637
Petrified Forest NP,106,22,0.6920574925931304,-41.98603632726134,575526.0378489062,8,36.36363636363637
Capitol Reef NP,85,17,0.9024729994531207,-0.07772802759668584,253077.61295307317,8,47.05882352941177
Bryce Canyon NP,96,20,0.8333458020141187,-0.34590254027728395,510211.0519219469,7,35.0
Lake Clark NP & PRES,43,9,0.23427305767858875,-5.684431602238015,17153.973619633005,6,66.66666666666667
Mount Rainier NP,121,25,0.8982871671919381,-2.5967679621492836,541074.8934652775,4,16.0
Big Bend NP,81,17,0.9079424218104221,-1.2067322367641293,120896.26401289005,4,23.529411764705884
Great Sand Dunes NP & PRES,92,19,0.9083895956000124,0.3641981874100524,87030.45455964154,4,21.05263157894737
Lassen Volcanic NP,108,22,0.8686528935689208,-5.9006387008447785,187518.44470036335,4,18.181818181818183
Glacier Bay NP & PRES,69,14,0.928276635406492,-0.02750754524242005,124350.0255689331,4,28.571428571428573
Sequoia NP,119,24,0.8988376589804197,-3.4304680984095093,322570.27590405726,4,16.666666666666668
National Park of American Samoa,21,5,0.5982418170752636,-30.896944175030736,40248.43757803738,4,80.0
Pinnacles NP,102,21,0.8362080154720759,0.2206457494106543,58306.64968675574,4,19.047619047619047
Rocky Mountain NP,110,22,0.9556041258542473,0.2387687752581108,512655.08563986083,4,18.181818181818183
Saguaro NP,102,21,0.6863665713951151,-0.7627271483471019,830635.1099464652,3,14.285714285714286
White Sands NP,92,19,0.7581492331838551,-4.313005709795812,247558.9934491882,3,15.789473684210526
Everglades NP,77,16,0.5877913153305045,-10.390336397025411,509971.8937425127,3,18.75
Channel Islands NP,62,13,0.6977659699593539,-29.190754128704288,382373.7032397604,3,23.076923076923077
Congaree NP,40,8,0.8334817261130614,-0.22877946992311804,42652.27326338249,3,37.5
Wind Cave NP,121,25,0.7870470101770051,-15.21520580953586,432137.20445925934,2,8.0
Acadia NP,106,22,0.7926000241594332,-3.8839562373089693,1541170.1008098105,2,9.090909090909092
Great Basin NP,91,19,0.8021963235766038,0.0580901856190148,27614.29884213045,2,10.526315789473685
Death Valley NP,92,19,0.8902906743847339,-0.17827965682927704,288730.95537303074,2,10.526315789473685
Glacier NP,114,23,0.8907334175801983,0.38854291238455996,327391.5667805555,2,8.695652173913043
Hot Springs NP,117,24,0.6621739211344526,-7.008133990429572,1412152.5781751443,1,4.166666666666667
Isle Royale NP,85,17,0.7801483775037767,-4.0875576225345815,35533.960445021854,1,5.882352941176471
Gates of the Arctic NP & PRES,43,9,0.24409362637067333,-1.4146284478125146,4991.693196670663,1,11.11111111111111
Grand Canyon NP,106,22,0.8706701805585928,-0.19305785551052246,657361.3748769936,1,4.545454545454546
Canyonlands NP,60,12,0.8735794195349713,0.02701886947932397,121968.25132126268,1,8.333333333333334
Wrangell-St. Elias NP & PRES,43,9,0.6152858672644397,-0.010848296642570476,18437.30036898899,1,11.11111111111111
Kenai Fjords NP,43,9,0.7599615299169624,-0.26722280515075103,56496.51889903512,1,11.11111111111111
Yellowstone NP,121,25,0.873285241601216,-0.7744515642248997,899121.3916383791,1,4.0
Yosemite NP,119,24,0.8166724093153341,-0.728616683441506,614363.9036140926,1,4.166666666666667
Biscayne NP,53,11,0.20632981766261171,0.010345476836574163,90331.85107111913,0,0.0
Crater Lake NP,121,25,0.8877253090770666,-0.2491178603943769,111987.9344761201,0,0.0
Badlands NP,86,18,0.5384165323328377,-18.42201676755979,461045.1204249292,0,0.0
