Park,Date,Year,Z_Score,Is_Anomaly,Actual,Predicted
Acadia NP,2003-01-01,2003,-2.0478936121825106,False,2614500,4011710.713032201
Acadia NP,2004-01-01,2004,-2.4832794235502598,False,2372420,4066680.186855659
Acadia NP,2005-01-01,2005,-2.801782297305795,False,2210236,4121800.2619772702
Acadia NP,2006-01-01,2006,-2.812570553640435,False,2257845,4176769.735800728
Acadia NP,2007-01-01,2007,-2.714628687585128,False,2379637,4231739.209624186
Acadia NP,2008-01-01,2008,-2.9806483121914162,False,2253110,4286708.683447644
Acadia NP,2009-01-01,2009,-2.8302469451539336,False,2410844,4341828.758569241
Acadia NP,2010-01-01,2010,-2.4709661333496737,False,2710939,4396798.2323926985
Acadia NP,2011-01-01,2011,-2.74998506312664,False,2575543,4451767.7062161565
Acadia NP,2012-01-01,2012,-2.7378482848266446,False,2638793,4506737.180039614
Acadia NP,2013-01-01,2013,-3.0894701460256857,True,2454013,4561857.255161211
Acadia NP,2014-01-01,2014,-2.692567712266192,False,2779776,4616826.728984669
Acadia NP,2015-01-01,2015,-2.3991218074809155,False,3034954,4671796.202808127
Acadia NP,2016-01-01,2016,-1.7089618499251282,False,3560797,4726765.676631585
Acadia NP,2017-01-01,2017,-1.4700599703709325,False,3778912,4781885.751753181
Acadia NP,2018-01-01,2018,-1.5165424514007497,False,3802168,4836855.225576639
Acadia NP,2019-01-01,2019,-1.7510876054652464,False,3697115,4891824.699400097
Acadia NP,2020-01-01,2020,-3.269031631201246,True,2716441,4946794.173223555
Acadia NP,2021-01-01,2021,-1.0759233484089472,False,4267847,5001914.248345166
Acadia NP,2022-01-01,2022,-1.2324316318118753,False,4216036,5056883.7221686095
Acadia NP,2023-01-01,2023,-1.469220774625533,False,4109452,5111853.195992067
Acadia NP,2024-01-01,2024,-1.3914235077658295,False,4217500,5166822.669815525
Arches NP,2005-01-01,2005,0.4227292784908384,False,834258,779356.1235877126
Arches NP,2006-01-01,2006,0.7119969119493991,False,884904,792433.5503416993
Arches NP,2007-01-01,2007,0.8120361359784914,False,910974,805510.9770956859
Arches NP,2008-01-01,2008,1.2401297875853805,False,979650,818588.4038496725
Arches NP,2009-01-01,2009,1.6853489446719654,False,1050586,831701.6591701098
