,Date,Percentage,Number_Anomalies,Parks_with_Data
0,1946-01-01,0.7804878048780488,32,41
1,2021-01-01,0.6825396825396826,43,63
2,2022-01-01,0.6507936507936508,41,63
3,2020-01-01,0.5873015873015873,37,63
4,1945-01-01,0.43902439024390244,18,41
5,2023-01-01,0.38095238095238093,24,63
6,1909-01-01,0.375,3,8
7,1943-01-01,0.375,15,40
8,1915-01-01,0.36363636363636365,4,11
9,2024-01-01,0.3492063492063492,22,63
10,1942-01-01,0.325,13,40
11,1979-01-01,0.2909090909090909,16,55
12,2019-01-01,0.2857142857142857,18,63
13,1919-01-01,0.25,4,16
14,1917-01-01,0.25,3,12
15,2018-01-01,0.20634920634920634,13,63
16,1980-01-01,0.2,11,55
17,1947-01-01,0.1951219512195122,8,41
18,1916-01-01,0.18181818181818182,2,11
19,1920-01-01,0.17647058823529413,3,17
20,1905-01-01,0.16666666666666666,1,6
21,1918-01-01,0.16666666666666666,2,12
22,2016-01-01,0.15873015873015872,10,63
23,1906-01-01,0.14285714285714285,1,7
24,1926-01-01,0.14285714285714285,3,21
25,2017-01-01,0.14285714285714285,9,63
26,1934-01-01,0.13793103448275862,4,29
27,1972-01-01,0.1346153846153846,7,52
28,1935-01-01,0.12903225806451613,4,31
29,1936-01-01,0.12121212121212122,4,33
30,1982-01-01,0.11666666666666667,7,60
31,1974-01-01,0.11320754716981132,6,53
32,1973-01-01,0.11320754716981132,6,53
33,1995-01-01,0.11290322580645161,7,62
34,1910-01-01,0.1111111111111111,1,9
35,1976-01-01,0.1111111111111111,6,54
36,1922-01-01,0.10526315789473684,2,19
37,1914-01-01,0.1,1,10
38,1911-01-01,0.1,1,10
39,1971-01-01,0.09803921568627451,5,51
40,1993-01-01,0.0967741935483871,6,62
41,1925-01-01,0.09523809523809523,2,21
42,1923-01-01,0.09523809523809523,2,21
43,1960-01-01,0.08695652173913043,4,46
44,1938-01-01,0.08571428571428572,3,35
45,1967-01-01,0.08333333333333333,4,48
46,1984-01-01,0.08196721311475409,5,61
47,1999-01-01,0.08064516129032258,5,62
48,1992-01-01,0.08064516129032258,5,62
49,1991-01-01,0.08064516129032258,5,62
50,1977-01-01,0.07407407407407407,4,54
51,1951-01-01,0.07142857142857142,3,42
52,1956-01-01,0.06818181818181818,3,44
53,1983-01-01,0.06666666666666667,4,60
54,1962-01-01,0.06521739130434782,3,46
55,1989-01-01,0.06451612903225806,4,62
56,1987-01-01,0.06451612903225806,4,62
57,1986-01-01,0.06451612903225806,4,62
58,1963-01-01,0.06382978723404255,3,47
59,1968-01-01,0.0625,3,48
60,1975-01-01,0.05660377358490566,3,53
61,1921-01-01,0.05555555555555555,1,18
62,1981-01-01,0.05454545454545454,3,55
63,1978-01-01,0.05454545454545454,3,55
64,1941-01-01,0.05,2,40
65,1996-01-01,0.04918032786885246,3,61
66,1944-01-01,0.04878048780487805,2,41
67,1949-01-01,0.04878048780487805,2,41
68,1997-01-01,0.04838709677419355,3,62
69,1994-01-01,0.04838709677419355,3,62
70,1988-01-01,0.04838709677419355,3,62
71,1928-01-01,0.047619047619047616,1,21
72,1927-01-01,0.047619047619047616,1,21
73,1953-01-01,0.047619047619047616,2,42
74,1950-01-01,0.047619047619047616,2,42
75,2015-01-01,0.047619047619047616,3,63
76,1924-01-01,0.045454545454545456,1,22
77,1959-01-01,0.044444444444444446,2,45
78,1957-01-01,0.044444444444444446,2,45
79,1961-01-01,0.043478260869565216,2,46
80,1966-01-01,0.041666666666666664,2,48
81,1970-01-01,0.04081632653061224,2,49
82,1932-01-01,0.04,1,25
83,1933-01-01,0.037037037037037035,1,27
84,2001-01-01,0.03225806451612903,2,62
85,2000-01-01,0.03225806451612903,2,62
86,1998-01-01,0.03225806451612903,2,62
87,1985-01-01,0.03225806451612903,2,62
88,2014-01-01,0.031746031746031744,2,63
89,2012-01-01,0.031746031746031744,2,63
90,2011-01-01,0.031746031746031744,2,63
91,2008-01-01,0.031746031746031744,2,63
92,1937-01-01,0.029411764705882353,1,34
93,1948-01-01,0.024390243902439025,1,41
94,1955-01-01,0.023809523809523808,1,42
95,1952-01-01,0.023809523809523808,1,42
96,1958-01-01,0.022222222222222223,1,45
97,1964-01-01,0.02127659574468085,1,47
98,1969-01-01,0.020833333333333332,1,48
99,1965-01-01,0.020833333333333332,1,48
100,1990-01-01,0.016129032258064516,1,62
101,2013-01-01,0.015873015873015872,1,63
102,2009-01-01,0.015873015873015872,1,63
103,2007-01-01,0.015873015873015872,1,63
104,2006-01-01,0.015873015873015872,1,63
105,2002-01-01,0.015873015873015872,1,63
106,1913-01-01,0.0,0,10
107,1912-01-01,0.0,0,10
108,1908-01-01,0.0,0,8
109,1907-01-01,0.0,0,7
110,1904-01-01,0.0,0,6
111,1931-01-01,0.0,0,24
112,1930-01-01,0.0,0,24
113,1929-01-01,0.0,0,24
114,1940-01-01,0.0,0,37
115,1939-01-01,0.0,0,36
116,1954-01-01,0.0,0,42
117,2010-01-01,0.0,0,63
118,2005-01-01,0.0,0,62
119,2004-01-01,0.0,0,62
120,2003-01-01,0.0,0,63
