Year,Aggregate_Change,Z_Score,Is_Outlier,Parks_With_Outliers
1979,0.0,-0.03884331392363466,False,0
1980,1316074.0,0.14940899507566938,False,6
1981,3242806.0,0.42501032738893374,False,8
1982,196122.0,-0.010789861499560096,False,6
1983,1084834.0,0.11633223500518773,False,7
1984,-1387347.0,-0.23729057154992123,False,3
1985,939690.0,0.0955707176912715,False,4
1986,4087750.0,0.5458718131223408,False,4
1987,3262811.0,0.4278718590668873,False,6
1988,455264.0,0.026278023633568928,False,6
1989,805482.0,0.07637349482524831,False,6
1990,-2706183.0,-0.4259379593042619,False,4
1991,4090242.0,0.5462282708549806,False,9
1992,1576937.0,0.1867230534663719,False,9
1993,2053883.0,0.25494580216286017,False,8
1994,1020302.0,0.10710152457071133,False,9
1995,2519482.0,0.32154546663291805,False,8
1996,-1169458.0,-0.2061235495165482,False,8
1997,2007924.0,0.24837178894681075,False,4
1998,-400318.0,-0.09610513038227103,False,8
1999,-578172.0,-0.1215455130391446,False,9
2000,-1811856.0,-0.2980126885744849,False,8
2001,-2120750.0,-0.3421971407679261,False,5
2002,645191.0,0.05344533815487307,False,4
2003,-1829329.0,-0.3005120408868509,False,5
2004,-104159.0,-0.05374230307854427,False,4
2005,172590.0,-0.014155898162674497,False,5
2006,-3686056.0,-0.5660998003375739,False,7
2007,1806795.0,0.21960213111851157,False,4
2008,-1641369.0,-0.2736260876657485,False,6
2009,2275769.0,0.28668455836852913,False,6
2010,2036777.0,0.252498945832789,False,4
2011,-2471995.0,-0.39243951488553697,False,9
2012,2458427.0,0.31281210914241786,False,10
2013,-1929404.0,-0.3148268513178034,False,7
2014,4790973.0,0.6464614102813285,False,8
2015,6378311.0,0.8735155452785531,False,12
2016,7313880.0,1.0073401056590254,True,18
2017,1772184.0,0.21465134516971618,False,13
2018,-1677260.0,-0.2787599658688693,False,12
2019,3296649.0,0.432712074458969,False,11
2020,-23079081.0,-3.3400940702123894,True,51
2021,24320154.0,3.439931546546719,True,53
2022,-3589676.0,-0.5523135257501625,False,26
2023,3728023.0,0.4944161667381765,False,11
2024,1897363.0,0.2325570524386265,False,12
2025,-28607236.0,-4.130845914908089,True,48
