ParkName,Date,RecreationVisits,predicted,lower_bound,upper_bound
Acadia NP,1979-04-01,219351.0,9701.665857744341,-105957.7616192307,125361.0933347194
Acadia NP,1979-05-01,339416.0,182611.58537035732,67403.76423496263,297819.406505752
Acadia NP,1979-06-01,543205.0,285461.7971734728,170588.60516113183,400334.9891858138
Acadia NP,1979-08-01,466928.0,337611.2584178987,223125.30516014993,452097.2116756474
Acadia NP,1979-12-01,7842.0,205424.06181920477,91083.18901534965,319764.9346230599
Acadia NP,1980-07-01,533885.0,281010.5132253364,172813.84821259716,389207.1782380756
Acadia NP,1980-09-01,282636.0,494522.152120622,386403.739826027,602640.564415217
Acadia NP,1981-10-01,313788.0,469440.47386863054,363829.97581046156,575050.9719267995
Acadia NP,1982-07-01,737860.0,534512.11635602,430042.2613137951,638981.9713982448
Acadia NP,1982-08-01,574164.0,762275.7826417688,657824.672103334,866726.8931802036
Acadia NP,1982-09-01,541721.0,428424.75787055574,323984.8468027342,532864.6689383773
Acadia NP,1982-12-01,28370.0,145399.09432451124,40966.923391134274,249831.2652578882
Acadia NP,1983-07-01,916474.0,680453.8597457448,576591.2195107926,784316.4999806971
Acadia NP,1983-11-01,262444.0,394985.6907145091,291148.4742717104,498822.90715730784
Acadia NP,1984-08-01,865843.0,676414.8381280946,572887.0442660993,779942.6319900898
Acadia NP,1984-09-01,443622.0,756332.6647031726,652810.7918751894,859854.5375311559
Acadia NP,1989-11-01,302857.0,425495.96268937056,322364.93333925726,528626.9920394839
Acadia NP,1990-04-01,17898.0,282415.9406451788,179292.0298285558,385539.8514618018
Acadia NP,1990-05-01,148090.0,314656.6983349738,211533.60852589604,417779.7881440515
Acadia NP,1990-07-01,554953.0,660082.5724883089,556960.9122255644,763204.2327510534
Acadia NP,1990-10-01,207770.0,346700.67775191605,243580.52654538644,449820.8289584457
Acadia NP,1990-12-01,11801.0,-133169.45028630403,-236289.1279106472,-30049.77266196086
Acadia NP,2013-10-01,94904.0,298406.6504585842,195301.9612653834,401511.339651785
Acadia NP,2013-11-01,41181.0,-106713.32000251842,-209818.00919479027,-3608.6308102465555
Acadia NP,2014-10-01,313920.0,181344.82048020267,78240.1312962968,284449.50966410857
Acadia NP,2014-11-01,31013.0,152947.21937162883,49842.530188231016,256051.90855502663
Acadia NP,2017-11-01,53006.0,165216.02107597125,62111.33190142935,268320.71025051316
Acadia NP,2020-05-01,103120.0,214361.45368044433,111256.76450721941,317466.14285366924
Acadia NP,2020-06-01,201156.0,385645.73868617206,282541.0495129651,488750.42785937904
Acadia NP,2020-08-01,681746.0,569371.221623028,466266.5324498541,672475.910796202
Acadia NP,2020-10-01,480859.0,369447.48866427585,266342.7994911311,472552.1778374206
Acadia NP,2021-05-01,324654.0,182003.2161248916,78898.5269518314,285107.9052979518
Acadia NP,2021-06-01,661919.0,430320.09107998473,327215.4019069343,533424.7802530352
Arches NP,2013-10-01,57446.0,99808.32815654192,70858.10927711467,128758.54703596917
Arches NP,2013-11-01,43928.0,-9360.806948323865,-38311.02582775112,19589.411931103386
Arches NP,2020-03-01,81623.0,133557.6390227761,104607.42014334885,162507.85790220334
Arches NP,2020-04-01,0.0,103991.33744413005,75041.1185647028,132941.5563235573
Arches NP,2020-06-01,163699.0,21680.348085023597,-7269.870794403654,50630.566964450845
Arches NP,2021-04-01,193914.0,153607.87348974776,124657.6546103205,182558.09236917502
Arches NP,2021-06-01,238499.0,271601.4892644362,242651.27038500892,300551.7081438634
Arches NP,2022-06-01,171859.0,218988.15077780193,190037.9318983747,247938.36965722917
Arches NP,2023-06-01,180782.0,218904.67845812152,189954.45957869425,247854.89733754878
Arches NP,2024-06-01,180563.0,211706.82252327714,182756.6036438499,240657.04140270437
Badlands NP,1979-06-01,138423.0,41091.767596294114,5155.091711847635,77028.44348074059
Badlands NP,1979-07-01,208498.0,98323.00868983867,62545.114810744526,134100.9025689328
Badlands NP,1979-08-01,194501.0,149143.10048097698,113470.83092846649,184815.37003348747
Badlands NP,1979-09-01,91880.0,147451.75345817435,111835.56345892756,183067.94345742115
Badlands NP,1979-11-01,21169.0,66295.05412273941,30698.483646147797,101891.62459933103
Badlands NP,1980-06-01,167212.0,129557.6884814628,96237.26080080812,162878.11616211748
Badlands NP,1980-07-01,240671.0,205276.84694483312,172006.41057503445,238547.2833146318
Badlands NP,1980-09-01,99345.0,134952.47791851073,101745.11471424604,168159.84112277543
Badlands NP,1980-10-01,46812.0,80481.06640186711,47285.533422509056,113676.59938122515
Badlands NP,1981-07-01,299383.0,250160.7514602595,217401.21989837333,282920.2830221456
Badlands NP,1981-09-01,182838.0,143846.932860426,111113.01939945704,176580.84632139496
Badlands NP,1981-10-01,52592.0,118615.64814420335,85888.71608508323,151342.58020332348
Badlands NP,1982-09-01,110020.0,167232.86718500248,134625.56443803688,199840.1699319681
Badlands NP,1985-07-01,199978.0,285920.3468751354,253367.16309979616,318473.5306504746
Badlands NP,1985-08-01,222573.0,185603.01832870056,153050.0233466348,218156.0133107663
Badlands NP,1986-07-01,262462.0,218143.85190426663,185592.05114844418,250695.65266008908
Badlands NP,1987-08-01,294355.0,260823.5965002213,228272.22387911673,293374.9691213258
Badlands NP,1988-08-01,209496.0,283863.99998290394,251312.73545096733,316415.26451484056
Badlands NP,1988-09-01,126459.0,87025.6155426107,54474.35527739978,119576.87580782162
Badlands NP,1989-08-01,284663.0,251266.5850700458,218715.35153911175,283817.81860097987
Badlands NP,1991-04-01,96014.0,41372.148745477585,8820.925969052925,73923.37152190224
Badlands NP,1992-04-01,27163.0,75402.21528719182,42850.99357261031,107953.43700177333
Badlands NP,1992-07-01,271982.0,330641.10692144034,298089.8853195813,363192.32852329937
Badlands NP,1992-08-01,349509.0,273469.71245177166,240918.49088000966,306020.93402353366
Badlands NP,1992-09-01,142107.0,182879.6009232675,150328.37937843832,215430.8224680967
Badlands NP,1993-07-01,311931.0,278262.8019350746,245711.58054750224,310814.023322647
Badlands NP,1993-09-01,120981.0,156365.487743714,123814.2663719807,188916.70911544733
Badlands NP,1995-08-01,288225.0,333620.0703892218,301068.8490781992,366171.29170024436
Badlands NP,1995-09-01,122438.0,84268.24027166382,51717.01896121433,116819.4615821133
Badlands NP,1997-08-01,248190.0,288781.56320858735,256230.34190277287,321332.78451440186
Badlands NP,1998-07-01,243051.0,280908.9921698057,248357.77086428803,313460.21347532334
Badlands NP,2000-06-01,241202.0,196051.12325677395,163499.90195137647,228602.34456217143
Badlands NP,2000-08-01,319967.0,274587.8975989038,242036.67629350844,307139.11890429916
Badlands NP,2001-06-01,192749.0,228686.97038432708,196135.7490789376,261238.19168971656
Badlands NP,2001-08-01,254819.0,287696.6489893917,255145.4276840028,320247.8702947806
Badlands NP,2002-08-01,219701.0,257017.296322831,224466.0750174439,289568.51762821816
Badlands NP,2003-06-01,154035.0,191961.86320782735,159410.64190244066,224513.08451321404
Badlands NP,2021-05-01,109764.0,76288.40529105844,43737.18398567198,108839.6265964449
Badlands NP,2021-06-01,256041.0,208567.61863081474,176016.3973254283,241118.8399362012
Badlands NP,2022-07-01,224054.0,261109.24708775373,228558.02578236727,293660.4683931402
Big Bend NP,1979-03-01,45669.0,13599.657292257347,-11414.496257278639,38613.81084179333
Big Bend NP,2000-03-01,31445.0,55683.60719874922,37022.79783314053,74344.4165643579
Big Bend NP,2005-08-01,43332.0,21184.2921869481,2523.848244101726,39844.73612979447
Big Bend NP,2007-03-01,80773.0,51660.23152731675,32999.80628200977,70320.65677262373
Big Bend NP,2007-04-01,36261.0,55980.15748384684,37319.73289532887,74640.5820723648
Big Bend NP,2010-11-01,52485.0,30287.597428347686,11627.186196845818,48948.008659849555
Big Bend NP,2011-01-01,53588.0,26674.713224221647,8014.3024017174685,45335.124046725825
Big Bend NP,2011-03-01,39547.0,63234.89597111012,44574.485397848315,81895.30654437192
Big Bend NP,2011-04-01,15444.0,44352.84202275401,25692.43155762258,63013.252487885446
Big Bend NP,2011-05-01,39919.0,17448.40887823514,-1212.0014858600553,36108.81924233033
Big Bend NP,2012-03-01,32590.0,55780.3085544364,37119.89902395992,74440.71808491288
Big Bend NP,2017-03-01,74735.0,55101.20815556773,36440.800245584614,73761.61606555084
Big Bend NP,2020-04-01,0.0,45039.818008347225,26379.410236645832,63700.22578004862
Big Bend NP,2020-05-01,0.0,21749.404449217134,3088.9966791716033,40409.81221926266
Big Bend NP,2020-07-01,0.0,22607.74273920757,3947.3349721425366,41268.15050627261
Big Bend NP,2021-03-01,89914.0,66641.10434105842,47980.69658452577,85301.51209759107
