ParkName,SizeCategory,Month,AvgVisits,Season
Acadia NP,Small,1,,Winter
Acadia NP,Small,2,,Winter
Acadia NP,Small,3,,Spring
Acadia NP,Small,4,,Spring
Acadia NP,Small,5,,Spring
Acadia NP,Small,6,,Summer
Acadia NP,Small,7,,Summer
Acadia NP,Small,8,,Summer
Acadia NP,Small,9,,Fall
Acadia NP,Small,10,,Fall
Acadia NP,Small,11,,Fall
Acadia NP,Small,12,,Winter
Acadia NP,Medium,1,,Winter
Acadia NP,Medium,2,,Winter
Acadia NP,Medium,3,,Spring
Acadia NP,Medium,4,,Spring
Acadia NP,Medium,5,,Spring
Acadia NP,Medium,6,,Summer
Acadia NP,Medium,7,,Summer
Acadia NP,Medium,8,,Summer
Acadia NP,Medium,9,,Fall
Acadia NP,Medium,10,,Fall
Acadia NP,Medium,11,,Fall
Acadia NP,Medium,12,,Winter
Acadia NP,Large,1,,Winter
Acadia NP,Large,2,,Winter
Acadia NP,Large,3,,Spring
Acadia NP,Large,4,,Spring
Acadia NP,Large,5,,Spring
Acadia NP,Large,6,,Summer
Acadia NP,Large,7,,Summer
Acadia NP,Large,8,,Summer
Acadia NP,Large,9,,Fall
Acadia NP,Large,10,,Fall
Acadia NP,Large,11,,Fall
Acadia NP,Large,12,,Winter
Acadia NP,Extra Large,1,28537.239130434784,Winter
Acadia NP,Extra Large,2,27923.195652173912,Winter
Acadia NP,Extra Large,3,40562.282608695656,Spring
Acadia NP,Extra Large,4,120998.71739130435,Spring
Acadia NP,Extra Large,5,234190.60869565216,Spring
Acadia NP,Extra Large,6,400995.23913043475,Summer
Acadia NP,Extra Large,7,639153.3913043478,Summer
Acadia NP,Extra Large,8,697388.2826086957,Summer
Acadia NP,Extra Large,9,475268.347826087,Fall
Acadia NP,Extra Large,10,356582.02173913043,Fall
Acadia NP,Extra Large,11,104551.47826086957,Fall
Acadia NP,Extra Large,12,29163.0,Winter
Arches NP,Small,1,,Winter
Arches NP,Small,2,,Winter
Arches NP,Small,3,,Spring
Arches NP,Small,4,,Spring
Arches NP,Small,5,,Spring
Arches NP,Small,6,,Summer
Arches NP,Small,7,,Summer
Arches NP,Small,8,,Summer
Arches NP,Small,9,,Fall
Arches NP,Small,10,,Fall
Arches NP,Small,11,,Fall
Arches NP,Small,12,,Winter
Arches NP,Medium,1,,Winter
Arches NP,Medium,2,,Winter
Arches NP,Medium,3,,Spring
Arches NP,Medium,4,,Spring
Arches NP,Medium,5,,Spring
Arches NP,Medium,6,,Summer
Arches NP,Medium,7,,Summer
Arches NP,Medium,8,,Summer
Arches NP,Medium,9,,Fall
Arches NP,Medium,10,,Fall
Arches NP,Medium,11,,Fall
Arches NP,Medium,12,,Winter
Arches NP,Large,1,13231.760869565218,Winter
Arches NP,Large,2,18239.565217391304,Winter
Arches NP,Large,3,65155.32608695652,Spring
Arches NP,Large,4,84176.13043478261,Spring
Arches NP,Large,5,115646.36956521739,Spring
Arches NP,Large,6,120861.65217391304,Summer
Arches NP,Large,7,119825.15217391304,Summer
Arches NP,Large,8,116507.32608695653,Summer
Arches NP,Large,9,114099.54347826086,Fall
Arches NP,Large,10,75968.13043478261,Fall
Arches NP,Large,11,33013.108695652176,Fall
Arches NP,Large,12,17820.978260869564,Winter
Arches NP,Extra Large,1,,Winter
Arches NP,Extra Large,2,,Winter
Arches NP,Extra Large,3,,Spring
Arches NP,Extra Large,4,,Spring
Arches NP,Extra Large,5,,Spring
Arches NP,Extra Large,6,,Summer
Arches NP,Extra Large,7,,Summer
Arches NP,Extra Large,8,,Summer
Arches NP,Extra Large,9,,Fall
Arches NP,Extra Large,10,,Fall
Arches NP,Extra Large,11,,Fall
Arches NP,Extra Large,12,,Winter
Badlands NP,Small,1,,Winter
Badlands NP,Small,2,,Winter
Badlands NP,Small,3,,Spring
Badlands NP,Small,4,,Spring
Badlands NP,Small,5,,Spring
Badlands NP,Small,6,,Summer
Badlands NP,Small,7,,Summer
Badlands NP,Small,8,,Summer
Badlands NP,Small,9,,Fall
Badlands NP,Small,10,,Fall
Badlands NP,Small,11,,Fall
Badlands NP,Small,12,,Winter
Badlands NP,Medium,1,,Winter
Badlands NP,Medium,2,,Winter
Badlands NP,Medium,3,,Spring
Badlands NP,Medium,4,,Spring
Badlands NP,Medium,5,,Spring
Badlands NP,Medium,6,,Summer
Badlands NP,Medium,7,,Summer
Badlands NP,Medium,8,,Summer
Badlands NP,Medium,9,,Fall
Badlands NP,Medium,10,,Fall
Badlands NP,Medium,11,,Fall
Badlands NP,Medium,12,,Winter
Badlands NP,Large,1,12583.369565217392,Winter
Badlands NP,Large,2,12396.608695652174,Winter
Badlands NP,Large,3,18945.695652173912,Spring
Badlands NP,Large,4,29324.739130434784,Spring
Badlands NP,Large,5,76739.19565217392,Spring
Badlands NP,Large,6,196659.6739130435,Summer
Badlands NP,Large,7,257157.13043478262,Summer
Badlands NP,Large,8,245667.30434782608,Summer
Badlands NP,Large,9,121570.76086956522,Fall
Badlands NP,Large,10,48385.717391304344,Fall
Badlands NP,Large,11,19402.847826086956,Fall
Badlands NP,Large,12,12582.608695652174,Winter
Badlands NP,Extra Large,1,,Winter
Badlands NP,Extra Large,2,,Winter
Badlands NP,Extra Large,3,,Spring
Badlands NP,Extra Large,4,,Spring
Badlands NP,Extra Large,5,,Spring
Badlands NP,Extra Large,6,,Summer
Badlands NP,Extra Large,7,,Summer
Badlands NP,Extra Large,8,,Summer
Badlands NP,Extra Large,9,,Fall
Badlands NP,Extra Large,10,,Fall
Badlands NP,Extra Large,11,,Fall
Badlands NP,Extra Large,12,,Winter
Big Bend NP,Small,1,,Winter
Big Bend NP,Small,2,,Winter
Big Bend NP,Small,3,,Spring
Big Bend NP,Small,4,,Spring
Big Bend NP,Small,5,,Spring
Big Bend NP,Small,6,,Summer
Big Bend NP,Small,7,,Summer
Big Bend NP,Small,8,,Summer
Big Bend NP,Small,9,,Fall
Big Bend NP,Small,10,,Fall
Big Bend NP,Small,11,,Fall
Big Bend NP,Small,12,,Winter
Big Bend NP,Medium,1,26275.760869565216,Winter
Big Bend NP,Medium,2,30289.869565217392,Winter
Big Bend NP,Medium,3,52446.65217391304,Spring
Big Bend NP,Medium,4,41698.239130434784,Spring
